date,player,team,opponent,opposing_pitcher,is_pitcher,games_vs_opp,ip_vs_opp,k_vs_opp,era_vs_opp,whip_vs_opp,small_sample,hits_vs_opp,hr_vs_opp,hrr_vs_opp,hrr_per_game,hits_per_game,hr_per_game,k_rate_vs_opp,games_vs_pitcher,hits_vs_pitcher,hr_vs_pitcher,hrr_vs_pitcher,k_per_9_vs_opp
2026-04-07,Shawn Armstrong,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,Chase DeLauter,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,
2026-04-07,Connor Brogdon,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,Daniel Schneemann,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Brayan Rocchio,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Gabriel Arias,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,
2026-04-07,Bo Naylor,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,
2026-04-07,Cade Smith,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,José Ramírez,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Steven Kwan,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,2.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Angel Martínez,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,0,,,,,True,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,
2026-04-07,Kyle Manzardo,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Erik Sabrowski,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,Tanner Bibee,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,1,4.666666666666667,3.0,1.9285714285714284,1.2857142857142856,True,,,,,,,,,,,,5.785714285714286
2026-04-07,Rhys Hoskins,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,
2026-04-07,Colin Holderman,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,Peyton Pallette,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,1,2.0,3.0,4.5,1.5,True,,,,,,,,,,,,13.5
2026-04-07,Gavin Williams,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,CJ Kayfus,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Matt Festa,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
2026-04-07,David Fry,Cleveland Guardians,Kansas City Royals,Noah Cameron,False,1,,,,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-04-07,Joey Cantillo,Cleveland Guardians,Kansas City Royals,Noah Cameron,True,0,0.0,0.0,,,True,,,,,,,,,,,,
