Season,player_id,player_name,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2025-26,2544,LeBron James,1610612747,LAL,22500253,2025-11-18,LAL vs. UTA,W,0.0,4,7,2,3,1,4,1,2,3,12,1,0,1,0,11,1
2025-26,2544,LeBron James,1610612747,LAL,22500282,2025-11-23,LAL @ UTA,W,0.0,8,18,0,4,1,2,0,6,6,8,1,0,2,2,17,-14
2025-26,2544,LeBron James,1610612747,LAL,22500059,2025-11-25,LAL vs. LAC,W,0.0,9,15,2,5,5,6,1,5,6,6,1,1,3,3,25,18
2025-26,2544,LeBron James,1610612747,LAL,22500078,2025-11-28,LAL vs. DAL,W,0.0,5,13,2,6,1,4,1,4,5,7,1,0,2,1,13,13
2025-26,2544,LeBron James,1610612747,LAL,22500317,2025-12-01,LAL vs. PHX,L,0.0,3,10,1,4,3,4,0,0,0,3,0,0,3,2,10,-6
2025-26,2544,LeBron James,1610612747,LAL,22500336,2025-12-04,LAL @ TOR,W,0.0,4,17,0,5,0,0,1,5,6,11,0,0,0,1,8,-1
2025-26,2544,LeBron James,1610612747,LAL,22500362,2025-12-07,LAL @ PHI,W,0.0,12,17,4,6,1,2,1,6,7,6,1,1,2,1,29,1
2025-26,2544,LeBron James,1610612747,LAL,22501204,2025-12-10,LAL vs. SAS,L,0.0,7,14,0,3,5,6,1,14,15,8,0,3,3,2,19,-16
2025-26,2544,LeBron James,1610612747,LAL,22501228,2025-12-14,LAL @ PHX,W,0.0,8,17,1,5,9,14,1,2,3,4,2,2,8,3,26,8
2025-26,2544,LeBron James,1610612747,LAL,22500379,2025-12-18,LAL @ UTA,W,0.0,8,17,0,5,12,13,1,6,7,10,1,0,2,1,28,-6
2025-26,2544,LeBron James,1610612747,LAL,22500395,2025-12-20,LAL @ LAC,L,0.0,15,28,3,7,3,5,1,3,4,3,2,1,3,1,36,-6
2025-26,2544,LeBron James,1610612747,LAL,22500418,2025-12-23,LAL @ PHX,L,0.0,7,14,3,5,6,11,0,2,2,6,0,0,0,0,23,-18
2025-26,2544,LeBron James,1610612747,LAL,22500012,2025-12-25,LAL vs. HOU,L,0.0,7,13,1,3,3,4,0,2,2,5,2,1,3,3,18,-33
2025-26,2544,LeBron James,1610612747,LAL,22500446,2025-12-28,LAL vs. SAC,W,0.0,11,13,1,2,1,1,1,2,3,5,2,0,2,0,24,20
2025-26,2544,LeBron James,1610612747,LAL,22500460,2025-12-30,LAL vs. DET,L,0.0,6,17,3,10,2,5,0,4,4,4,1,1,5,1,17,-16
2025-26,2544,LeBron James,1610612747,LAL,22500485,2026-01-02,LAL vs. MEM,W,0.0,12,18,1,5,6,6,0,9,9,6,0,0,4,3,31,11
2025-26,2544,LeBron James,1610612747,LAL,22500501,2026-01-04,LAL vs. MEM,W,0.0,8,14,2,7,8,10,0,7,7,10,1,0,1,2,26,6
2025-26,2544,LeBron James,1610612747,LAL,22500514,2026-01-06,LAL @ NOP,W,0.0,10,19,3,5,7,7,0,8,8,8,2,1,1,2,30,10
2025-26,2544,LeBron James,1610612747,LAL,22500541,2026-01-09,LAL vs. MIL,L,0.0,10,21,2,7,4,6,1,8,9,10,3,0,3,1,26,8
2025-26,2544,LeBron James,1610612747,LAL,22500562,2026-01-12,LAL @ SAC,L,0.0,8,17,0,5,6,6,0,4,4,3,1,0,3,1,22,-9
