Player,player_id,Position
Precious Achiuwa,1630173,Forward
Steven Adams,203500,Center
Bam Adebayo,1628389,Center-Forward
Ochai Agbaji,1630534,Guard
Santi Aldama,1630583,Forward-Center
Trey Alexander,1641725,Guard
Nickeil Alexander-Walker,1629638,Guard
Grayson Allen,1628960,Guard
Jarrett Allen,1628386,Center
Jose Alvarado,1630631,Guard
Kyle Anderson,203937,Forward-Guard
Alex Antetokounmpo,1630828,Forward
Giannis Antetokounmpo,203507,Forward
Thanasis Antetokounmpo,203648,Forward
Cole Anthony,1630175,Guard
OG Anunoby,1628384,Forward-Guard
Deni Avdija,1630166,Forward
Deandre Ayton,1629028,Center
Marvin Bagley III,1628963,Forward
Ace Bailey,1642846,Forward
LaMelo Ball,1630163,Guard
Lonzo Ball,1628366,Guard
Paolo Banchero,1631094,Forward
Desmond Bane,1630217,Guard
Dominick Barlow,1631230,Forward
Harrison Barnes,203084,Forward
Scottie Barnes,1630567,Forward-Guard
Brooks Barnhizer,1642964,Guard
RJ Barrett,1629628,Forward-Guard
Charles Bassey,1629646,Center-Forward
Tamar Bates,1642926,Guard
Jamison Battle,1642419,Forward
Nicolas Batum,201587,Guard-Forward
Bradley Beal,203078,Guard
MarJon Beauchamp,1630699,Forward
Joan Beringer,1642866,Forward
Saddiq Bey,1630180,Guard-Forward
Goga Bitadze,1629048,Center-Forward
Bismack Biyombo,202687,Center
Anthony Black,1641710,Guard
Bogdan Bogdanović,203992,Guard
Adem Bona,1641737,Forward
Devin Booker,1626164,Guard
Chris Boucher,1628449,Forward
Jamaree Bouyea,1631123,Guard
Malaki Branham,1631103,Forward
Christian Braun,1631128,Guard
Koby Brea,1642886,Guard
Mikal Bridges,1628969,Guard-Forward
Miles Bridges,1628970,Forward
Dillon Brooks,1628415,Guard-Forward
Johni Broome,1641780,Forward
Bruce Brown,1628971,Guard-Forward
Jaylen Brown,1627759,Guard-Forward
Kobe Brown,1641738,Forward
Jalen Brunson,1628973,Guard
Carter Bryant,1642868,Forward
Thomas Bryant,1628418,Center-Forward
Jimmy Butler III,202710,Forward
Matas Buzelis,1641824,Forward
Jamal Cain,1631288,Forward
Kentavious Caldwell-Pope,203484,Guard
Toumani Camara,1641739,Forward
Clint Capela,203991,Center
Dylan Cardwell,1642928,Center
Branden Carlson,1642382,Center
Bub Carrington,1642267,Guard
Devin Carter,1642269,Guard
Wendell Carter Jr.,1628976,Center-Forward
Alex Caruso,1627936,Guard
Stephon Castle,1642264,Guard
Colin Castleton,1630658,Center
Julian Champagnie,1630577,Forward
Justin Champagnie,1630551,Guard-Forward
Cam Christie,1642353,Guard
Max Christie,1631108,Guard
Moussa Cisse,1630619,Center
Sidy Cissoko,1631321,Guard
Jaylen Clark,1641740,Guard
Brandon Clarke,1629634,Forward
Jordan Clarkson,203903,Guard
Nic Claxton,1629651,Center
Walter Clayton Jr.,1642383,Guard
Nique Clifford,1642363,Guard
Donovan Clingan,1642270,Center
Noah Clowney,1641730,Forward-Center
Amir Coffey,1629599,Guard-Forward
Isaiah Collier,1642268,Guard
John Collins,1628381,Forward-Center
Zach Collins,1628380,Forward-Center
Mike Conley,201144,Guard
Pat Connaughton,1626192,Guard
Javonte Cooke,1631451,Guard
Sharife Cooper,1630536,Guard
Bilal Coulibaly,1641731,Guard
Cedric Coward,1642907,Guard
Isaiah Crawford,1642384,Forward
LJ Cryer,1643018,Guard
Cade Cunningham,1630595,Guard
Seth Curry,203552,Guard
Stephen Curry,201939,Guard
Pacôme Dadiet,1642359,Forward
Dyson Daniels,1630700,Guard
N'Faly Dante,1642368,Center
Anthony Davis,203076,Forward-Center
JD Davison,1631120,Guard
DeMar DeRozan,201942,Guard-Forward
RayJ Dennis,1642484,Guard
Donte DiVincenzo,1628978,Guard
Moussa Diabaté,1631217,Forward
Mohamed Diawara,1642885,Forward
Gradey Dick,1641711,Guard-Forward
Hunter Dickinson,1630621,Center
Ousmane Dieng,1631172,Forward
Rob Dillingham,1642265,Guard
Luka Dončić,1629029,Forward-Guard
Luguentz Dort,1629652,Guard
Ayo Dosunmu,1630245,Guard
Andre Drummond,203083,Center
Kris Dunn,1627739,Guard
Ryan Dunn,1642346,Forward
Kevin Durant,201142,Forward
Jalen Duren,1631105,Center
Egor Dëmin,1642856,Guard
Tari Eason,1631106,Forward
Zach Edey,1641744,Center
VJ Edgecombe,1642845,Guard
Anthony Edwards,1630162,Guard
Justin Edwards,1642348,Forward
