GAME_ID,GAME_DATE,TEAM,OPP_TEAM,GF,GA,SF,SA
2025020001,2025-10-07,CHI,FLA,2,3,19,37
2025020001,2025-10-07,FLA,CHI,3,2,37,19
2025020002,2025-10-07,NYR,PIT,0,3,25,31
2025020002,2025-10-07,PIT,NYR,3,0,31,25
2025020003,2025-10-07,COL,LAK,4,1,23,25
2025020003,2025-10-07,LAK,COL,1,4,25,23
2025020004,2025-10-08,MTL,TOR,2,5,31,27
2025020004,2025-10-08,TOR,MTL,5,2,27,31
2025020005,2025-10-08,BOS,WSH,3,1,22,36
2025020005,2025-10-08,WSH,BOS,1,3,36,22
2025020006,2025-10-08,CGY,EDM,3,3,22,35
2025020006,2025-10-08,EDM,CGY,3,3,35,22
2025020007,2025-10-08,LAK,VGK,5,5,26,35
2025020007,2025-10-08,VGK,LAK,5,5,35,26
2025020008,2025-10-09,BOS,CHI,4,3,33,24
2025020008,2025-10-09,CHI,BOS,3,4,24,33
2025020009,2025-10-09,BUF,NYR,0,4,37,33
2025020009,2025-10-09,NYR,BUF,4,0,33,37
2025020010,2025-10-09,DET,MTL,1,5,31,17
2025020010,2025-10-09,MTL,DET,5,1,17,31
2025020011,2025-10-09,OTT,TBL,5,4,34,25
2025020011,2025-10-09,TBL,OTT,4,5,25,34
2025020012,2025-10-09,FLA,PHI,2,1,34,20
2025020012,2025-10-09,PHI,FLA,1,2,20,34
2025020013,2025-10-09,NYI,PIT,3,4,37,28
2025020013,2025-10-09,PIT,NYI,4,3,28,37
2025020014,2025-10-09,CAR,NJD,6,3,33,22
2025020014,2025-10-09,NJD,CAR,3,6,22,33
2025020015,2025-10-09,MIN,STL,5,0,21,26
2025020015,2025-10-09,STL,MIN,0,5,26,21
2025020016,2025-10-09,CBJ,NSH,1,2,39,32
2025020016,2025-10-09,NSH,CBJ,2,1,32,39
2025020017,2025-10-09,DAL,WPG,5,4,37,25
2025020017,2025-10-09,WPG,DAL,4,5,25,37
2025020018,2025-10-09,COL,UTA,2,1,27,33
2025020018,2025-10-09,UTA,COL,1,2,33,27
2025020019,2025-10-09,CGY,VAN,1,5,18,26
2025020019,2025-10-09,VAN,CGY,5,1,26,18
