Team,GF_A,SF_A,GF_R,SF_R,GA_A,SA_A,GA_R,SA_R
ANA,3.2,30.07,18.0,6.0,3.48,28.84,34.0,26.0
BOS,3.39,27.18,9.0,25.0,3.14,29.98,23.0,34.0
BUF,3.37,27.58,11.0,22.0,3.09,29.96,21.0,33.0
CAN,0.0,0.0,38.0,39.0,0.0,0.0,1.0,1.0
CAR,3.39,31.81,9.0,5.0,2.81,24.28,12.0,4.0
CBJ,3.11,29.73,20.0,8.0,3.14,30.23,23.0,35.0
CGY,2.5,28.98,35.0,13.0,2.98,28.89,18.0,27.0
CHI,2.65,24.7,29.0,37.0,3.16,29.46,25.0,30.0
COL,3.84,34.11,4.0,4.0,2.42,26.67,6.0,12.0
CZE,0.0,0.0,38.0,39.0,0.0,0.0,1.0,1.0
DAL,3.32,25.54,13.0,31.0,2.75,26.88,9.0,13.0
DET,2.97,28.34,23.0,18.0,2.97,27.71,17.0,20.0
EDM,3.41,29.98,7.0,7.0,3.29,27.03,30.0,16.0
FIN,1.0,40.0,37.0,3.0,4.0,25.0,38.0,7.0
FLA,2.98,29.04,22.0,11.0,3.33,25.75,31.0,9.0
FRA,0.0,27.0,38.0,26.0,4.0,43.0,38.0,39.0
ITA,2.0,21.0,36.0,38.0,5.0,60.0,40.0,40.0
LAK,2.54,27.59,32.0,21.0,2.77,27.02,11.0,15.0
MIN,3.31,28.84,14.0,14.0,2.86,29.95,13.0,32.0
MTL,3.46,26.23,6.0,29.0,3.21,27.33,28.0,18.0
NJD,2.51,29.3,34.0,9.0,3.07,27.72,20.0,21.0
NSH,2.91,28.6,24.0,16.0,3.47,29.35,33.0,29.0
NYI,2.84,27.41,27.0,23.0,2.71,27.93,8.0,22.0
NYR,2.61,25.44,30.0,33.0,3.16,28.77,25.0,25.0
OTT,3.3,28.44,15.0,17.0,3.23,24.47,29.0,5.0
PHI,2.89,25.62,25.0,30.0,3.16,25.64,25.0,8.0
PIT,3.41,29.04,7.0,11.0,2.89,27.23,15.0,17.0
SEA,2.88,25.3,26.0,34.0,2.88,29.16,14.0,28.0
SJS,3.07,25.49,21.0,32.0,3.49,30.64,35.0,36.0
STL,2.56,25.07,31.0,35.0,3.51,27.65,36.0,19.0
SUI,4.0,43.0,2.0,2.0,0.0,27.0,1.0,14.0
SVK,4.0,25.0,2.0,36.0,1.0,40.0,4.0,38.0
SWE,5.0,60.0,1.0,1.0,2.0,21.0,5.0,3.0
TBL,3.55,28.15,5.0,19.0,2.51,26.36,7.0,11.0
TOR,3.28,27.32,16.0,24.0,3.39,31.61,32.0,37.0
UTA,3.21,27.75,17.0,20.0,2.75,26.0,9.0,10.0
VAN,2.54,26.82,32.0,27.0,3.65,29.89,37.0,31.0
VGK,3.33,28.84,12.0,14.0,3.04,24.86,19.0,6.0
WPG,2.84,26.25,27.0,28.0,3.09,28.04,21.0,23.0
WSH,3.19,29.1,19.0,10.0,2.92,28.31,16.0,24.0
