Match Date,Match,Player,Adjusted Prob,Variance,Best Wager Score,Worst Odds
2026-03-28 03:00:00,Vaclav Hruska Sr vs Miroslav Barta,Vaclav Hruska Sr,0.852,0.0,0.852,-575
2026-03-28 16:30:00,Robin Pacha vs Ondrej Svacha,Ondrej Svacha,0.817,0.024,0.794,-425
2026-03-28 02:30:00,Miroslav Barta vs Jaroslav Strnad,Jaroslav Strnad,0.786,0.0,0.786,-367
2026-03-28 21:00:00,Pavel Fojt vs Jaroslav Prokupek,Jaroslav Prokupek,0.815,0.033,0.782,-417
2026-03-28 20:30:00,Kyryl Darin vs Jiri Dedek,Jiri Dedek,0.737,0.005,0.732,-282
2026-03-28 18:30:00,Jiri Dedek vs Pavel Fojt,Jiri Dedek,0.731,0.0,0.731,-271
2026-03-27 22:30:00,Patrik Pycha vs Tomas Barta,Patrik Pycha,0.73,0.043,0.687,-289
2026-03-28 21:30:00,Jiri Dedek vs Dmitro Parhomenko,Jiri Dedek,0.667,0.0,0.667,-200
2026-03-28 06:15:00,Viktor Vejvoda vs Yirzhi Louda,Yirzhi Louda,0.678,0.016,0.662,-215
2026-03-28 20:30:00,Patrik Pycha vs Jan Sucharda,Jan Sucharda,0.69,0.033,0.657,-233
2026-03-28 15:00:00,Jiri Grohsgott vs Pavel Berdych,Pavel Berdych,0.697,0.052,0.644,-213
2026-03-28 21:00:00,Martin Sobisek vs Jakub Hradecky,Martin Sobisek,0.642,0.012,0.63,-182
2026-03-27 21:00:00,Kolar Milan vs Frantisek Briza,Kolar Milan,0.612,0.017,0.596,-161
2026-03-28 18:00:00,Jakub Hradecky vs Patrik Pycha,Jakub Hradecky,0.624,0.033,0.591,-172
2026-03-28 15:00:00,Robin Pacha vs Milan Klement,Robin Pacha,0.639,0.053,0.586,-188
2026-03-28 20:00:00,Daniel Tuma vs Martin Sobisek,Daniel Tuma,0.601,0.045,0.556,-143
2026-03-28 06:30:00,Jakub Levicky vs Dominik Oborny,Jakub Levicky,0.57,0.041,0.529,-127
2026-03-28 10:00:00,Jakub Levicky vs Dominik Oborny,Jakub Levicky,0.57,0.041,0.529,-127
2026-03-28 19:00:00,Kyryl Darin vs Dmitro Parhomenko,Dmitro Parhomenko,0.6,0.141,0.459,-127
2026-03-28 11:00:00,Kyryl Darin vs Dmitro Parhomenko,Dmitro Parhomenko,0.6,0.141,0.459,-127
2026-03-28 02:30:00,Jan Steffan vs Jan Pleskot,Jan Pleskot,0.526,0.1,0.426,100
2026-03-28 08:30:00,Yirzhi Louda vs Michal Regner,Yirzhi Louda,0.524,0.103,0.422,101
2026-03-28 19:00:00,Vladimir Kubat vs Jaromir Cernik,Jaromir Cernik,0.493,0.167,0.326,120
