Match Date,Match,Player,Adjusted Prob,Variance,Best Wager Score,Worst Odds
2026-03-28 00:00:00,Adam Ruszkiewicz vs Mariusz Koczyba,Mariusz Koczyba,1.0,0.0,1.0,-1000
2026-03-27 20:45:00,Cezary Pawlik vs Michal Natkaniec,Cezary Pawlik,0.905,0.0,0.905,-950
2026-03-28 14:40:00,Krystian Kolodziej vs Michal Olbrycht,Krystian Kolodziej,0.863,0.006,0.857,-620
2026-03-28 20:10:00,Krystian Kolodziej vs Michal Olbrycht,Krystian Kolodziej,0.863,0.006,0.857,-620
2026-03-28 17:55:00,Krystian Kolodziej vs Michal Olbrycht,Krystian Kolodziej,0.863,0.006,0.857,-620
2026-03-28 16:05:00,Adam Kasperski vs Bartlomiej Wisniewski,Bartlomiej Wisniewski,0.925,0.082,0.843,-909
2026-03-28 06:20:00,Michal Oracz vs Rafal Wojcik,Michal Oracz,0.828,0.0,0.828,-480
2026-03-28 08:45:00,Rafal Wojcik vs Michal Oracz,Michal Oracz,0.828,0.0,0.828,-480
2026-03-27 21:10:00,Robert Szymik vs Jakub Michalski,Robert Szymik,0.863,0.074,0.789,-535
2026-03-28 05:00:00,Tadeusz Piotrowski vs Mariusz Zwolinski,Tadeusz Piotrowski,0.764,0.004,0.76,-321
2026-03-28 09:15:00,Szymon Kolasa vs Szymon Sporek,Szymon Kolasa,0.75,0.0,0.75,-300
2026-03-28 20:40:00,Piotr Przewlocki vs Pawel Slosarczyk,Piotr Przewlocki,0.733,0.0,0.733,-275
2026-03-28 18:00:00,Piotr Przewlocki vs Pawel Slosarczyk,Piotr Przewlocki,0.733,0.0,0.733,-275
2026-03-28 01:40:00,Dawid Poloszczanski vs Tadeusz Piotrowski,Tadeusz Piotrowski,0.818,0.09,0.728,-383
2026-03-28 06:10:00,Tadeusz Piotrowski vs Dawid Poloszczanski,Tadeusz Piotrowski,0.818,0.09,0.728,-383
2026-03-28 21:20:00,Artur Kubiak vs Andriej Fomin,Andriej Fomin,0.783,0.072,0.711,-413
2026-03-28 16:20:00,Artur Kubiak vs Andriej Fomin,Andriej Fomin,0.783,0.072,0.711,-413
2026-03-27 21:35:00,Lukasz Pyda vs Henryk Tkaczyk,Henryk Tkaczyk,0.795,0.089,0.706,-462
2026-03-28 02:30:00,Waclaw Suchecki vs Tadeusz Piotrowski,Tadeusz Piotrowski,0.76,0.059,0.702,-287
