Match Date,Match,P1,P1 BB%,P1 Samples,P1 Worst Odds,P2,P2 BB%,P2 Samples,P2 Worst Odds
2026-03-30 14:55:00,Mariusz Baron vs Piotr Gumulinski,Mariusz Baron,0.833,12,-500.0,Piotr Gumulinski,0.389,18,157.0
2026-03-30 20:55:00,Mariusz Baron vs Piotr Gumulinski,Mariusz Baron,0.833,12,-500.0,Piotr Gumulinski,0.389,18,157.0
2026-03-30 17:00:00,Henryk Tkaczyk vs Miroslaw Lewczuk,Henryk Tkaczyk,0.833,12,-500.0,Miroslaw Lewczuk,0.278,18,260.0
2026-03-31 00:40:00,Jakub Glanowski vs Jakub Zochniak,Jakub Glanowski,0.533,15,-114.0,Jakub Zochniak,0.8,15,-400.0
2026-03-30 22:45:00,Krzysztof Kotyl vs Michal Skorski,Krzysztof Kotyl,0.8,15,-400.0,Michal Skorski,0.667,15,-200.0
2026-03-31 06:50:00,Jakub Zochniak vs Jakub Glanowski,Jakub Zochniak,0.8,15,-400.0,Jakub Glanowski,0.533,15,-114.0
2026-03-31 01:15:00,Krzysztof Kotyl vs Michal Skorski,Krzysztof Kotyl,0.8,15,-400.0,Michal Skorski,0.667,15,-200.0
2026-03-30 20:10:00,Michal Machelski vs Miroslaw Lewczuk,Michal Machelski,0.176,17,467.0,Miroslaw Lewczuk,0.769,13,-333.0
2026-03-30 14:40:00,Artur Sobel vs Wojciech Gluszek,Artur Sobel,0.75,12,-300.0,Wojciech Gluszek,0.556,18,-125.0
2026-03-30 19:45:00,Miroslaw Warzecha vs Henryk Tkaczyk,Miroslaw Warzecha,0.75,12,-300.0,Henryk Tkaczyk,,7,
2026-03-31 02:30:00,Michal Skorski vs Wojciech Iwasyszyn,Michal Skorski,,11,,Wojciech Iwasyszyn,0.737,19,-280.0
2026-03-31 00:00:00,Michal Skorski vs Wojciech Iwasyszyn,Michal Skorski,,11,,Wojciech Iwasyszyn,0.737,19,-280.0
2026-03-30 11:20:00,Yurij Fomin vs Grzegorz Wichowski,Yurij Fomin,0.333,15,200.0,Grzegorz Wichowski,0.733,15,-275.0
2026-03-31 02:05:00,Krzysztof Kotyl vs Miroslaw Piecowski,Krzysztof Kotyl,0.533,15,-114.0,Miroslaw Piecowski,0.733,15,-275.0
2026-03-30 23:35:00,Krzysztof Kotyl vs Miroslaw Piecowski,Krzysztof Kotyl,0.533,15,-114.0,Miroslaw Piecowski,0.733,15,-275.0
2026-03-30 14:05:00,Kamil Klocek vs Kuba Golaszewski,Kamil Klocek,0.714,14,-250.0,Kuba Golaszewski,,11,
2026-03-31 04:10:00,Adrian Wiecek vs Maciej Nowalinski,Adrian Wiecek,0.647,17,-183.0,Maciej Nowalinski,0.692,13,-225.0
2026-03-30 17:10:00,Arkadiusz Mugowski vs Milosz Piecowski,Arkadiusz Mugowski,0.286,14,250.0,Milosz Piecowski,0.688,16,-220.0
2026-03-30 19:35:00,Arkadiusz Mugowski vs Milosz Piecowski,Arkadiusz Mugowski,0.286,14,250.0,Milosz Piecowski,0.688,16,-220.0
2026-03-31 04:30:00,Kacper Adamus vs Maksymilian Rus,Kacper Adamus,,7,,Maksymilian Rus,0.667,21,-200.0
2026-03-30 08:40:00,Szymon Kolasa vs Amirreza Abbasi,Szymon Kolasa,0.333,18,200.0,Amirreza Abbasi,0.667,12,-200.0
2026-03-30 09:50:00,Szymon Kolasa vs Dawid Michna,Szymon Kolasa,0.647,17,-183.0,Dawid Michna,0.615,13,-160.0
2026-03-30 10:10:00,Miroslaw Lewczuk vs Jakub Cyndera,Miroslaw Lewczuk,0.438,16,129.0,Jakub Cyndera,0.643,14,-180.0
2026-03-30 17:50:00,Miroslaw Lewczuk vs Jakub Cyndera,Miroslaw Lewczuk,0.438,16,129.0,Jakub Cyndera,0.643,14,-180.0
2026-03-31 06:05:00,Piotr Chlodnicki vs Marcin Balcerzak,Piotr Chlodnicki,0.643,14,-180.0,Marcin Balcerzak,,8,
2026-03-30 18:00:00,Maciej Kolek vs Rutkowski Mateusz,Maciej Kolek,0.632,19,-171.0,Rutkowski Mateusz,,8,
2026-03-30 20:30:00,Maciej Kolek vs Rutkowski Mateusz,Maciej Kolek,0.632,19,-171.0,Rutkowski Mateusz,,8,
2026-03-30 23:00:00,Marian Lebek vs Krzysztof Hetnar,Marian Lebek,0.625,16,-167.0,Krzysztof Hetnar,0.5,14,100.0
2026-03-31 07:35:00,Michal Skorski vs Bartlomiej Wisniewski,Michal Skorski,0.588,17,-143.0,Bartlomiej Wisniewski,0.615,13,-160.0
2026-03-31 02:10:00,Adrian Spychala vs Marcin Balcerzak,Adrian Spychala,0.615,13,-160.0,Marcin Balcerzak,0.412,17,143.0
2026-03-31 04:30:00,Adrian Spychala vs Marcin Balcerzak,Adrian Spychala,0.615,13,-160.0,Marcin Balcerzak,0.412,17,143.0
2026-03-30 20:10:00,Schaniel Krzysztof vs Piotr Gumulinski,Schaniel Krzysztof,0.294,17,240.0,Piotr Gumulinski,0.615,13,-160.0
2026-03-30 08:50:00,Mateusz Trela vs Wojciech Iwasyszyn,Mateusz Trela,0.583,12,-140.0,Wojciech Iwasyszyn,0.611,18,-157.0
2026-03-30 15:30:00,Mateusz Misiak vs Milosz Piecowski,Mateusz Misiak,0.462,13,117.0,Milosz Piecowski,0.588,17,-143.0
2026-03-30 20:00:00,Mateusz Misiak vs Milosz Piecowski,Mateusz Misiak,0.462,13,117.0,Milosz Piecowski,0.588,17,-143.0
2026-03-31 03:50:00,Piotr Chodorski vs Marcin Jadczyk,Piotr Chodorski,0.588,17,-143.0,Marcin Jadczyk,0.231,13,333.0
2026-03-30 12:25:00,Adrian Wiecek vs Lukasz Jarocki,Adrian Wiecek,0.588,17,-143.0,Lukasz Jarocki,0.385,13,160.0
2026-03-30 17:35:00,Mateusz Misiak vs Milosz Piecowski,Mateusz Misiak,0.462,13,117.0,Milosz Piecowski,0.588,17,-143.0
2026-03-30 10:25:00,Artur Sobel vs Milosz Piecowski,Artur Sobel,,6,,Milosz Piecowski,0.583,24,-140.0
2026-03-31 05:10:00,Jakub Zochniak vs Bartek Sulkowski,Jakub Zochniak,0.583,12,-140.0,Bartek Sulkowski,,10,
2026-03-30 23:55:00,Jakub Zochniak vs Bartek Sulkowski,Jakub Zochniak,0.583,12,-140.0,Bartek Sulkowski,,10,
2026-03-30 22:20:00,Miroslaw Piecowski vs Michal Skorski,Miroslaw Piecowski,,9,,Michal Skorski,0.571,21,-133.0
2026-03-30 18:25:00,Jakub Kuzmicz vs Rutkowski Mateusz,Jakub Kuzmicz,0.571,14,-133.0,Rutkowski Mateusz,,8,
2026-03-30 16:05:00,Jakub Kuzmicz vs Rutkowski Mateusz,Jakub Kuzmicz,0.571,14,-133.0,Rutkowski Mateusz,,8,
2026-03-31 06:45:00,Wojciech Gluszek vs Bartlomiej Wisniewski,Wojciech Gluszek,,9,,Bartlomiej Wisniewski,0.571,21,-133.0
2026-03-31 00:50:00,Miroslaw Piecowski vs Michal Skorski,Miroslaw Piecowski,,9,,Michal Skorski,0.571,21,-133.0
2026-03-31 06:20:00,Michal Skorski vs Miroslaw Piecowski,Michal Skorski,0.571,21,-133.0,Miroslaw Piecowski,,9,
2026-03-31 00:20:00,Krzysztof Wloczko vs Jakub Kwapis,Krzysztof Wloczko,0.562,16,-129.0,Jakub Kwapis,0.214,14,367.0
2026-03-30 13:35:00,Adrian Wiecek vs Krystian Kolodziej,Adrian Wiecek,0.562,16,-129.0,Krystian Kolodziej,0.429,14,133.0
2026-03-31 05:00:00,Adrian Wiecek vs Amirreza Abbasi,Adrian Wiecek,0.562,16,-129.0,Amirreza Abbasi,0.5,14,100.0
2026-03-31 06:35:00,Marcin Jadczyk vs Amirreza Abbasi,Marcin Jadczyk,0.357,14,180.0,Amirreza Abbasi,0.562,16,-129.0
2026-03-30 12:55:00,Mariusz Baron vs Robert Kostepski,Mariusz Baron,0.556,18,-125.0,Robert Kostepski,,8,
2026-03-30 18:55:00,Mariusz Baron vs Robert Kostepski,Mariusz Baron,0.556,18,-125.0,Robert Kostepski,,8,
