Match Date,Match,P1,P1 BB%,P1 Samples,P1 Worst Odds,P2,P2 BB%,P2 Samples,P2 Worst Odds
2026-03-30 06:00:00,Oleksandr Kolbasenko vs Michal Vavrecka,Oleksandr Kolbasenko,0.353,17,183.0,Michal Vavrecka,0.846,13,-550.0
2026-03-30 11:30:00,Oleksandr Kolbasenko vs Michal Vavrecka,Oleksandr Kolbasenko,0.353,17,183.0,Michal Vavrecka,0.846,13,-550.0
2026-03-29 13:00:00,Vratislav Petracek vs Dan Volhejn,Vratislav Petracek,,11,,Dan Volhejn,0.789,19,-375.0
2026-03-29 20:30:00,Dan Volhejn vs Vratislav Petracek,Dan Volhejn,0.789,19,-375.0,Vratislav Petracek,,11,
2026-03-29 15:00:00,Ba Hoang Tai Nguyen vs Tomas Barta,Ba Hoang Tai Nguyen,0.765,17,-325.0,Tomas Barta,0.769,13,-333.0
2026-03-29 11:00:00,Tomas Barta vs Ba Hoang Tai Nguyen,Tomas Barta,0.769,13,-333.0,Ba Hoang Tai Nguyen,0.765,17,-325.0
2026-03-29 15:30:00,Jaroslav Prokupek vs Vladimr Postelt,Jaroslav Prokupek,0.714,14,-250.0,Vladimr Postelt,0.25,16,300.0
2026-03-30 02:00:00,Jan Steffan vs Tomas Regner,Jan Steffan,,5,,Tomas Regner,0.692,13,-225.0
2026-03-30 02:00:00,Yirzhi Louda vs Milan Klement,Yirzhi Louda,0.471,17,113.0,Milan Klement,0.692,13,-225.0
2026-03-29 21:00:00,Jaroslav Strnad vs Oleg Vitrovyj,Jaroslav Strnad,0.688,16,-220.0,Oleg Vitrovyj,0.357,14,180.0
2026-03-30 11:00:00,Jan Kanera vs Jiri Ruzicka,Jan Kanera,0.571,14,-133.0,Jiri Ruzicka,0.688,16,-220.0
2026-03-29 14:30:00,Vladimr Postelt vs Radim Pavelka,Vladimr Postelt,,11,,Radim Pavelka,0.684,19,-217.0
2026-03-30 20:00:00,Daniel Tuma vs Tomas Janata,Daniel Tuma,0.667,12,-200.0,Tomas Janata,0.667,18,-200.0
2026-03-29 15:30:00,Dan Volhejn vs Lukas Zeman,Dan Volhejn,0.5,12,100.0,Lukas Zeman,0.667,12,-200.0
2026-03-29 17:30:00,Rotislav Hasmanda vs Jaroslav Strnad,Rotislav Hasmanda,0.647,17,-183.0,Jaroslav Strnad,0.462,13,117.0
2026-03-30 05:00:00,Jiri Ruzicka vs Oleksandr Kolbasenko,Jiri Ruzicka,0.643,14,-180.0,Oleksandr Kolbasenko,0.625,16,-167.0
2026-03-30 10:00:00,Oleksandr Kolbasenko vs Jiri Ruzicka,Oleksandr Kolbasenko,0.625,16,-167.0,Jiri Ruzicka,0.643,14,-180.0
2026-03-30 19:00:00,Jakub Hradecky vs Daniel Tuma,Jakub Hradecky,0.625,16,-167.0,Daniel Tuma,0.357,14,180.0
2026-03-29 14:30:00,Lukas Zeman vs Vratislav Petracek,Lukas Zeman,0.571,14,-133.0,Vratislav Petracek,0.625,16,-167.0
2026-03-29 09:00:00,Radek Bartunek vs Tomas Regner,Radek Bartunek,,9,,Tomas Regner,0.625,16,-167.0
2026-03-30 18:00:00,Jan Steffan vs Milan Smrcek,Jan Steffan,0.333,15,200.0,Milan Smrcek,0.6,15,-150.0
2026-03-30 10:30:00,Michal Vavrecka vs Jan Kanera,Michal Vavrecka,0.588,17,-143.0,Jan Kanera,0.385,13,160.0
2026-03-29 21:30:00,Vratislav Petracek vs Tomas Postelt,Vratislav Petracek,0.385,13,160.0,Tomas Postelt,0.588,17,-143.0
2026-03-29 20:00:00,Jiri Ruzicka vs Tomas Postelt,Jiri Ruzicka,0.588,17,-143.0,Tomas Postelt,,11,
2026-03-29 09:30:00,Marek Placek vs Kolar Milan,Marek Placek,0.588,17,-143.0,Kolar Milan,0.385,13,160.0
2026-03-29 13:00:00,Radim Pavelka vs Jaroslav Prokupek,Radim Pavelka,0.583,12,-140.0,Jaroslav Prokupek,0.444,18,125.0
2026-03-30 15:00:00,Kyryl Darin vs Yurii Holovatiuk,Kyryl Darin,0.562,16,-129.0,Yurii Holovatiuk,0.571,14,-133.0
2026-03-29 20:30:00,Martin Sychra vs Alesh Bayer,Martin Sychra,0.571,14,-133.0,Alesh Bayer,0.562,16,-129.0
2026-03-29 13:00:00,Radomir Revay vs Radovan Polasek,Radomir Revay,0.571,14,-133.0,Radovan Polasek,0.312,16,220.0
2026-03-30 14:00:00,Radomir Revay vs Radovan Polasek,Radomir Revay,0.571,14,-133.0,Radovan Polasek,0.312,16,220.0
2026-03-29 14:30:00,Jiri Plachy vs Ba Hoang Tai Nguyen,Jiri Plachy,0.571,14,-133.0,Ba Hoang Tai Nguyen,0.438,16,129.0
2026-03-29 10:00:00,Jiri Plachy vs Ba Hoang Tai Nguyen,Jiri Plachy,0.571,14,-133.0,Ba Hoang Tai Nguyen,0.438,16,129.0
2026-03-29 17:30:00,Dan Volhejn vs Jiri Ruzicka,Dan Volhejn,0.556,18,-125.0,Jiri Ruzicka,0.417,12,140.0
2026-03-30 17:00:00,Ondrej Kucirek vs Jan Steffan,Ondrej Kucirek,0.556,18,-125.0,Jan Steffan,0.5,12,100.0
2026-03-30 13:00:00,Kyryl Darin vs Tomas Andrle,Kyryl Darin,0.333,12,200.0,Tomas Andrle,0.556,18,-125.0
2026-03-29 21:00:00,Jiri Ruzicka vs Michal Vavrecka,Jiri Ruzicka,0.55,20,-122.0,Michal Vavrecka,,10,
2026-03-30 07:00:00,Jiri Ruzicka vs Michal Vavrecka,Jiri Ruzicka,0.55,20,-122.0,Michal Vavrecka,,10,
2026-03-30 09:30:00,Jiri Ruzicka vs Michal Vavrecka,Jiri Ruzicka,0.55,20,-122.0,Michal Vavrecka,,10,
2026-03-30 20:30:00,Josef Pelikan vs Ladislav Havel,Josef Pelikan,,9,,Ladislav Havel,0.538,13,-117.0
2026-03-29 10:00:00,Zbynek Pagac vs Radim Urbaniec,Zbynek Pagac,0.538,13,-117.0,Radim Urbaniec,0.353,17,183.0
2026-03-30 01:30:00,Jan Potensky vs Alexander Hejduk,Jan Potensky,0.538,13,-117.0,Alexander Hejduk,0.235,17,325.0
2026-03-30 06:30:00,Josef Belovsky vs Miroslav Svedik,Josef Belovsky,0.538,13,-117.0,Miroslav Svedik,,3,
2026-03-30 09:00:00,Ondrej Paril vs Tadeas Zika,Ondrej Paril,0.533,15,-114.0,Tadeas Zika,0.267,15,275.0
2026-03-29 17:30:00,Martin Sychra vs Tomas Janata,Martin Sychra,0.533,15,-114.0,Tomas Janata,0.4,15,150.0
2026-03-29 13:00:00,Ba Hoang Tai Nguyen vs Dmitro Parhomenko,Ba Hoang Tai Nguyen,,10,,Dmitro Parhomenko,0.533,15,-114.0
2026-03-30 02:30:00,Alexander Hejduk vs Jiri Grohsgott,Alexander Hejduk,0.333,15,200.0,Jiri Grohsgott,0.533,15,-114.0
2026-03-29 19:30:00,Michal Vavrecka vs Dan Volhejn,Michal Vavrecka,0.385,13,160.0,Dan Volhejn,0.529,17,-113.0
2026-03-30 21:30:00,Milan Smrcek vs Ondrej Kucirek,Milan Smrcek,,11,,Ondrej Kucirek,0.526,19,-111.0
2026-03-29 15:30:00,Dmitro Parhomenko vs Jiri Plachy,Dmitro Parhomenko,0.312,16,220.0,Jiri Plachy,0.5,14,100.0
2026-03-29 19:00:00,Milan Cetner vs Jaroslav Strnad,Milan Cetner,0.438,16,129.0,Jaroslav Strnad,0.5,14,100.0
2026-03-30 14:30:00,Lukas Krok vs Kyryl Darin,Lukas Krok,0.5,22,100.0,Kyryl Darin,,8,
2026-03-30 19:30:00,Jan Sucharda vs Alesh Bayer,Jan Sucharda,0.5,12,100.0,Alesh Bayer,,8,
2026-03-30 13:30:00,Yurii Holovatiuk vs Lukas Krok,Yurii Holovatiuk,,11,,Lukas Krok,0.474,19,111.0
2026-03-29 19:00:00,Vratislav Petracek vs Jiri Ruzicka,Vratislav Petracek,0.471,17,113.0,Jiri Ruzicka,0.308,13,225.0
2026-03-29 10:00:00,Frantisek Briza vs Marek Placek,Frantisek Briza,0.385,13,160.0,Marek Placek,0.471,17,113.0
2026-03-29 15:00:00,Radomir Revay vs Tadeas Zika,Radomir Revay,0.45,20,122.0,Tadeas Zika,,10,
2026-03-29 09:00:00,Tomas Barta vs Jiri Plachy,Tomas Barta,,10,,Jiri Plachy,0.45,20,122.0
2026-03-29 13:30:00,Tomas Barta vs Jiri Plachy,Tomas Barta,,10,,Jiri Plachy,0.45,20,122.0
2026-03-30 15:30:00,Radomir Revay vs Tadeas Zika,Radomir Revay,0.45,20,122.0,Tadeas Zika,,10,
2026-03-30 14:00:00,Tomas Andrle vs Yurii Holovatiuk,Tomas Andrle,0.438,16,129.0,Yurii Holovatiuk,0.357,14,180.0
2026-03-30 10:00:00,Tadeas Zika vs Adam Pokorny,Tadeas Zika,0.429,14,133.0,Adam Pokorny,,8,
2026-03-29 14:00:00,Radovan Polasek vs Tadeas Zika,Radovan Polasek,,11,,Tadeas Zika,0.421,19,138.0
2026-03-30 13:30:00,Radovan Polasek vs Tadeas Zika,Radovan Polasek,,11,,Tadeas Zika,0.421,19,138.0
2026-03-30 19:30:00,Jan Steffan vs Vaclav Dolezal,Jan Steffan,,11,,Vaclav Dolezal,0.421,19,138.0
2026-03-30 10:30:00,Vaclav Hruska Sr vs Milan Longin,Vaclav Hruska Sr,0.417,12,140.0,Milan Longin,0.389,18,157.0
2026-03-30 15:30:00,Tomas Andrle vs Lukas Krok,Tomas Andrle,,10,,Lukas Krok,0.4,20,150.0
2026-03-29 14:00:00,Dmitro Parhomenko vs Tomas Barta,Dmitro Parhomenko,0.4,20,150.0,Tomas Barta,,10,
2026-03-29 11:30:00,Zbynek Pagac vs Michal Chalupa,Zbynek Pagac,,10,,Michal Chalupa,0.389,18,157.0
2026-03-30 06:00:00,Jiri Dedek vs Michal Vedmoch,Jiri Dedek,,10,,Michal Vedmoch,0.375,16,167.0
2026-03-29 15:00:00,Vratislav Petracek vs Zdenek Bilek,Vratislav Petracek,0.357,14,180.0,Zdenek Bilek,0.333,12,200.0
2026-03-30 13:00:00,Miroslav Tuma vs Petr Bruzek,Miroslav Tuma,0.357,14,180.0,Petr Bruzek,,6,
2026-03-30 07:30:00,Jiri Dedek vs Josef Belovsky,Jiri Dedek,0.35,20,186.0,Josef Belovsky,,10,
2026-03-29 17:00:00,Tomas Postelt vs Michal Vavrecka,Tomas Postelt,0.35,20,186.0,Michal Vavrecka,,10,
2026-03-30 03:30:00,Jan Steffan vs Vladimir Havlicek,Jan Steffan,0.333,12,200.0,Vladimir Havlicek,,11,
2026-03-29 21:30:00,Alesh Bayer vs Michal Regner,Alesh Bayer,,9,,Michal Regner,0.333,21,200.0
2026-03-29 18:00:00,Michal Vavrecka vs Vratislav Petracek,Michal Vavrecka,0.316,19,217.0,Vratislav Petracek,,11,
2026-03-30 05:30:00,Cesta Havrda vs Vladimir Kubat,Cesta Havrda,,11,,Vladimir Kubat,0.316,19,217.0
2026-03-29 10:30:00,Kyryl Darin vs Tomas Barta,Kyryl Darin,0.286,14,250.0,Tomas Barta,,3,
2026-03-30 03:30:00,Yirzhi Louda vs Viktor Vejvoda,Yirzhi Louda,,9,,Viktor Vejvoda,0.286,21,250.0
2026-03-30 19:00:00,Milan Smrcek vs Jiri Havel,Milan Smrcek,,7,,Jiri Havel,0.25,12,300.0
2026-03-30 01:30:00,Milan Klement vs Viktor Vejvoda,Milan Klement,,11,,Viktor Vejvoda,0.25,16,300.0
2026-03-29 11:30:00,Frantisek Briza vs Kolar Milan,Frantisek Briza,0.2,20,400.0,Kolar Milan,,10,
2026-03-30 03:00:00,Jiri Grohsgott vs Jan Potensky,Jiri Grohsgott,0.188,16,433.0,Jan Potensky,,9,
2026-03-30 09:30:00,Martin Stefek vs Vaclav Hruska Sr,Martin Stefek,,9,,Vaclav Hruska Sr,0.167,12,500.0
