player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
abhishek dhawan,bhavesh shah,23,5,4.3478260869565215,80.73913043478261,2025-08-17 21:30:00,0.21739130434782608,0.782608695652174
abhishek dhawan,brad robbins,28,6,4.214285714285714,78.82142857142857,2023-12-14 03:15:00,0.21428571428571427,0.7857142857142857
abhishek dhawan,chen shawn,22,3,4.363636363636363,81.81818181818181,2025-01-14 03:45:00,0.13636363636363635,0.8636363636363636
abhishek dhawan,luis meneses,36,12,4.055555555555555,78.83333333333333,2025-02-13 02:55:00,0.3333333333333333,0.6666666666666667
adam drzyzga,adam kasperski,50,20,3.88,69.68,2023-05-12 10:05:00,0.4,0.6
adam drzyzga,jakub grzegorczyk,41,15,3.926829268292683,71.97560975609755,2023-05-12 13:05:00,0.36585365853658536,0.6341463414634146
adam drzyzga,kacper slawinski,24,6,4.041666666666667,73.04166666666667,2023-05-05 16:35:00,0.25,0.75
adam drzyzga,marek chybinski,30,10,3.933333333333333,73.53333333333333,2023-05-12 11:05:00,0.3333333333333333,0.6666666666666667
adam drzyzga,mariusz adamus,26,7,3.9615384615384617,74.42307692307692,2023-05-11 08:05:00,0.2692307692307692,0.7307692307692308
adam drzyzga,mariusz koczyba,28,8,4.071428571428571,75.14285714285714,2023-04-25 03:20:00,0.2857142857142857,0.7142857142857143
adam duch,andrzej krezel,118,38,4.0,77.77118644067797,2025-11-28 15:00:00,0.3220338983050847,0.6779661016949152
adam duch,artur urbanski,31,10,4.032258064516129,79.64516129032258,2026-03-29 07:05:00,0.3225806451612903,0.6774193548387097
adam duch,blazej gola,73,31,3.767123287671233,71.10958904109589,2026-04-10 14:30:00,0.4246575342465753,0.5753424657534247
adam duch,damian bucko,104,41,3.8846153846153846,73.78846153846153,2026-04-11 15:35:00,0.3942307692307692,0.6057692307692308
adam duch,denys kovtanyuk,43,20,3.6744186046511627,70.76744186046511,2026-03-01 12:05:00,0.46511627906976744,0.5348837209302326
adam duch,fabian sikora,148,49,3.918918918918919,74.91891891891892,2025-12-12 21:00:00,0.3310810810810811,0.6689189189189189
adam duch,gracjan rokita,25,9,3.88,75.0,2026-02-27 16:30:00,0.36,0.64
adam duch,grzegorz jez,61,20,3.918032786885246,75.18032786885246,2025-12-12 23:30:00,0.32786885245901637,0.6721311475409837
adam duch,karol guzi,51,14,4.0,77.49019607843137,2026-04-11 17:35:00,0.27450980392156865,0.7254901960784313
adam duch,krzysztof zapala,66,15,4.2272727272727275,83.5909090909091,2026-04-09 16:00:00,0.22727272727272727,0.7727272727272727
adam duch,marek chybinski,137,52,3.81021897810219,71.7007299270073,2026-04-11 21:05:00,0.3795620437956204,0.6204379562043796
