match_id,match_date,player1,player2,match_link
14-04-2026-skvarskyi-dmytro-mateusz-galus,2026-04-14 05:00:00,Skvarskyi Dmytro,Mateusz Galus,https://scores24.live/en/table-tennis/14-04-2026-skvarskyi-dmytro-mateusz-galus
14-04-2026-dawid-stapor-jan-masternak,2026-04-14 05:30:00,Dawid Stapor,Jan Masternak,https://scores24.live/en/table-tennis/14-04-2026-dawid-stapor-jan-masternak
14-04-2026-radek-benes-dalibor-velky-junior,2026-04-14 05:40:00,Radek Benes,Dalibor Velky Jnr,https://scores24.live/en/table-tennis/14-04-2026-radek-benes-dalibor-velky-junior
14-04-2026-sikora-robert-sindler-jaroslav,2026-04-14 05:45:00,Robert Sikora,Jaroslav Sindler,https://scores24.live/en/table-tennis/14-04-2026-sikora-robert-sindler-jaroslav
14-04-2026-sylwester-wloszek-szymon-radlo,2026-04-14 06:00:00,Sylwester Wloszek,Szymon Radlo,https://scores24.live/en/table-tennis/14-04-2026-sylwester-wloszek-szymon-radlo
14-04-2026-heuman-ivan-tomas-krenek,2026-04-14 06:10:00,Ivan Heuman,Tomas Krenek,https://scores24.live/en/table-tennis/14-04-2026-heuman-ivan-tomas-krenek
14-04-2026-cecotka-dusan-kulhanek-tomas,2026-04-14 06:15:00,Dusan Cecotka,Tomas Kulhanek,https://scores24.live/en/table-tennis/14-04-2026-cecotka-dusan-kulhanek-tomas
14-04-2026-skvarskyi-dmytro-jan-masternak,2026-04-14 06:30:00,Skvarskyi Dmytro,Jan Masternak,https://scores24.live/en/table-tennis/14-04-2026-skvarskyi-dmytro-jan-masternak
14-04-2026-radek-benes-tomas-krenek,2026-04-14 06:40:00,Radek Benes,Tomas Krenek,https://scores24.live/en/table-tennis/14-04-2026-radek-benes-tomas-krenek
14-04-2026-sikora-robert-kulhanek-tomas,2026-04-14 06:45:00,Robert Sikora,Tomas Kulhanek,https://scores24.live/en/table-tennis/14-04-2026-sikora-robert-kulhanek-tomas
14-04-2026-david-vesecky-martin-cerny,2026-04-14 06:55:00,David Vesecky,Martin Cerny,https://scores24.live/en/table-tennis/14-04-2026-david-vesecky-martin-cerny
