match_id,date,player1,player2,sets1,sets2
7646922,2023-12-31 23:30:00,Martin Huk,Rostyslav Kliuchuk,3,1
7646918,2023-12-31 23:30:00,Jiri Plachy,Richard Krejci,3,1
7646929,2023-12-31 23:00:00,Ondrej Svacha,Michal Sklenar,1,3
7646917,2023-12-31 23:00:00,Frantisek Briza,Miroslav Adamec,0,3
7651202,2023-12-31 22:30:00,Roman Jonas,Petr Svoboda,3,0
7651183,2023-12-31 22:30:00,Patrik Pycha,Jiri Plachy,2,3
7651201,2023-12-31 22:30:00,Tomas Turek,Rostyslav Kliuchuk,0,3
7651186,2023-12-31 22:30:00,Svatoslav Stempen,Radomir Benesz,1,3
7651242,2023-12-31 22:00:00,Miloslav Dvorak,Zdenek Nevrtal,3,0
7651185,2023-12-31 22:00:00,Libor Jemelka,Petr Osvald,2,3
7651184,2023-12-31 22:00:00,Martin Huk,Michal Regner,1,3
7651182,2023-12-31 22:00:00,Kamil Novak,Richard Krejci,0,3
7646874,2023-12-31 21:30:00,Miloslav Dvorak,Zdenek Nevrtal,3,1
7646871,2023-12-31 21:30:00,Radomir Benesz,Petr Osvald,3,1
7646870,2023-12-31 21:30:00,Rostyslav Kliuchuk,Michal Regner,3,0
7646862,2023-12-31 21:30:00,Richard Krejci,Jiri Plachy,0,3
7646861,2023-12-31 21:00:00,Kamil Novak,Patrik Pycha,0,3
7646873,2023-12-31 21:00:00,Roman Jonas,Petr Svoboda,3,0
7646875,2023-12-31 21:00:00,Libor Jemelka,Svatoslav Stempen,2,3
7646869,2023-12-31 21:00:00,Tomas Turek,Martin Huk,3,0
7646866,2023-12-31 20:30:00,Michal Regner,Tomas Turek,1,3
7646860,2023-12-31 20:30:00,Jiri Plachy,Kamil Novak,3,2
7646884,2023-12-31 20:30:00,Petr Osvald,Libor Jemelka,1,3
7646872,2023-12-31 20:30:00,Zdenek Nevrtal,Roman Jonas,0,3
7646857,2023-12-31 20:00:00,Miloslav Dvorak,Petr Svoboda,0,3
7646865,2023-12-31 20:00:00,Rostyslav Kliuchuk,Martin Huk,3,2
7646883,2023-12-31 20:00:00,Radomir Benesz,Svatoslav Stempen,2,3
7646859,2023-12-31 20:00:00,Richard Krejci,Patrik Pycha,1,3
