match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11615127,2026-03-20 19:00:00,Roman Urban,Ondrej Kucirek,0.6306666666666667,0.6306666666666667,0.6306666666666667,2,2,2,0.6,0.7,0.6333333333333333,0.7333333333333333,0.19999999999999996
11615133,2026-03-20 19:00:00,Martin Stefek,Vaclav Dolezal,0.7,0.8,0.8,10,15,15,0.5,0.7,0.6333333333333333,0.7333333333333333,0.4999999999999999
11616446,2026-03-20 19:00:00,Hoang Tai Nguyen Ba,Patrik Pycha,0.6063333333333333,0.6063333333333333,0.6063333333333333,3,3,3,0.8,0.7,0.7333333333333333,0.6333333333333333,0.30000000000000004
11616421,2026-03-20 19:30:00,Miroslav Novotny,Jaroslav Strnad 1964,0.6,0.6666666666666666,0.6666666666666666,10,12,12,0.5,0.4,0.7,0.6666666666666666,0.19999999999999996
11616430,2026-03-20 19:30:00,Petr Picek,Jan Steffan,0.9,0.8333333333333334,0.7833333333333333,10,30,60,0.8,0.8,0.7666666666666667,0.8,0.19999999999999996
11616431,2026-03-20 19:30:00,Tomas Barta,Martin Vizek,0.5,0.7222222222222222,0.7222222222222222,10,18,18,1.0,0.8,0.8333333333333334,0.8,0.19999999999999996
11616348,2026-03-20 20:00:00,Patrik Pycha,Tomas Dousa,0.6,0.6,0.6,10,10,10,0.7,0.5,0.6333333333333333,0.6333333333333333,0.3999999999999999
11616366,2026-03-20 20:00:00,Vaclav Dolezal,Jan Briska,0.7,0.76,0.76,10,25,25,0.7,0.7,0.7333333333333333,0.7666666666666667,0.39999999999999997
11616607,2026-03-20 20:00:00,Ondrej Kucirek,Adam Svoboda,0.8,0.8,0.8,2,2,2,0.7,0.8,0.7333333333333333,0.7666666666666667,0.20000000000000007
11616436,2026-03-20 20:30:00,Roman Urban,Jan Steffan,0.724,0.724,0.724,4,4,4,0.6,0.8,0.6333333333333333,0.8,0.30000000000000004
11616414,2026-03-20 20:30:00,Martin Stefek,Jaroslav Strnad 1964,0.4,0.68,0.68,10,25,25,0.5,0.4,0.6333333333333333,0.6666666666666666,0.19999999999999996
11616371,2026-03-20 20:30:00,Hoang Tai Nguyen Ba,Martin Vizek,1.0,1.0,1.0,10,10,10,0.8,0.8,0.7333333333333333,0.8,0.19999999999999996
11616357,2026-03-20 21:00:00,Adam Svoboda,Petr Picek,0.7146666666666666,0.7146666666666666,0.7146666666666666,6,6,6,0.8,0.8,0.7666666666666667,0.7666666666666667,0.09999999999999998
11616422,2026-03-20 21:00:00,Jan Briska,Miroslav Novotny,0.7,0.75,0.75,10,12,12,0.7,0.5,0.7666666666666667,0.7,0.3
11616433,2026-03-20 21:00:00,Tomas Dousa,Tomas Barta,0.7,0.8,0.7833333333333333,10,30,60,0.6,1.0,0.6333333333333333,0.8333333333333334,0.5
11616361,2026-03-20 21:30:00,Jaroslav Strnad 1964,Vaclav Dolezal,0.6,0.7,0.71875,10,30,32,0.4,0.7,0.6666666666666666,0.7333333333333333,0.4999999999999999
11616608,2026-03-20 21:30:00,Martin Vizek,Patrik Pycha,0.9,0.8,0.8,10,25,25,0.8,0.7,0.8,0.6333333333333333,0.10000000000000009
11616609,2026-03-20 21:30:00,Jan Steffan,Ondrej Kucirek,0.7,0.7666666666666667,0.6666666666666666,10,30,57,0.8,0.7,0.8,0.7333333333333333,0.10000000000000009
11616349,2026-03-20 22:00:00,Jan Briska,Martin Stefek,0.676,0.676,0.676,1,1,1,0.7,0.5,0.7666666666666667,0.6333333333333333,0.3
11616355,2026-03-20 22:00:00,Tomas Dousa,Hoang Tai Nguyen Ba,0.6,0.6363636363636364,0.6363636363636364,10,11,11,0.7,0.8,0.6333333333333333,0.7333333333333333,0.30000000000000004
11616375,2026-03-20 22:00:00,Adam Svoboda,Roman Urban,0.7899999999999999,0.7899999999999999,0.7899999999999999,3,3,3,0.8,0.6,0.7666666666666667,0.6333333333333333,0.20000000000000007
11616424,2026-03-20 22:30:00,Ondrej Kucirek,Petr Picek,0.7,0.6666666666666666,0.5833333333333334,10,30,60,0.7,0.8,0.7333333333333333,0.7666666666666667,0.30000000000000004
11616423,2026-03-20 22:30:00,Vaclav Dolezal,Miroslav Novotny,0.9,0.9,0.9,10,10,10,0.7,0.5,0.7333333333333333,0.7,0.4999999999999999
11616350,2026-03-20 22:30:00,Patrik Pycha,Tomas Barta,0.6,0.6666666666666666,0.6571428571428571,10,30,35,0.7,1.0,0.6333333333333333,0.8333333333333334,0.30000000000000004
11620068,2026-03-21 02:00:00,Milos Pospisil,Michal Syroha,0.8,0.85,0.85,10,20,20,0.8,0.6,0.6666666666666666,0.4666666666666667,0.4000000000000001
11620103,2026-03-21 02:00:00,Vojtech Kocian,Ivan Kolenciak,0.7033333333333334,0.7033333333333334,0.7033333333333334,0,0,0,0.9,0.6,0.7,0.5666666666666667,0.9000000000000001
11620104,2026-03-21 02:00:00,Radim Urbaniec,Petr Sebera,0.8,0.6896551724137931,0.6896551724137931,10,29,29,0.7,0.6,0.5666666666666667,0.6666666666666666,0.19999999999999996
11620423,2026-03-21 02:00:00,David Heczko,Tomas Hrabec,0.651,0.651,0.651,1,1,1,0.8,0.7,0.6,0.7666666666666667,0.20000000000000018
11620582,2026-03-21 02:00:00,Dmitro Parhomenko,Michal Vedmoch,0.8,0.8,0.7333333333333333,10,30,60,0.8,1.0,0.8,0.7333333333333333,0.29999999999999993
11620105,2026-03-21 02:30:00,Jiri Plachy,Kyryl Darin,0.8109999999999999,0.8109999999999999,0.8109999999999999,3,3,3,0.9,0.6,0.8333333333333334,0.5666666666666667,0.30000000000000004
