player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
adam brazda,alesh bayer,20,4,4.2,76.3,2026-04-12 02:30:00,0.2,0.8
adam brazda,denis hofman,38,8,4.131578947368421,76.63157894736842,2026-03-03 16:00:00,0.21052631578947367,0.7894736842105263
adam brazda,jiri zuzanek,48,16,4.083333333333333,78.02083333333333,2026-03-10 15:00:00,0.3333333333333333,0.6666666666666667
adam brazda,marcel pikous,56,15,4.053571428571429,75.46428571428571,2026-03-12 17:10:00,0.26785714285714285,0.7321428571428572
adam brazda,marek sedlak,35,8,4.142857142857143,76.71428571428571,2025-10-29 16:30:00,0.22857142857142856,0.7714285714285715
adam brazda,martin bittner,26,12,3.8461538461538463,69.34615384615384,2025-05-19 19:00:00,0.46153846153846156,0.5384615384615384
adam brazda,martin sobisek,50,11,4.12,79.18,2026-04-02 16:00:00,0.22,0.78
adam brazda,michal regner,27,9,3.962962962962963,76.0,2026-02-23 15:00:00,0.3333333333333333,0.6666666666666667
adam brazda,milan klement,48,18,3.9166666666666665,70.79166666666667,2026-03-04 15:00:00,0.375,0.625
adam brazda,milan urban,32,5,4.21875,80.03125,2024-07-11 17:00:00,0.15625,0.84375
adam brazda,patrik pycha,22,9,3.8636363636363638,70.81818181818181,2025-06-09 21:30:00,0.4090909090909091,0.5909090909090908
adam brazda,robin pacha,39,9,4.128205128205129,76.92307692307692,2026-02-19 19:30:00,0.23076923076923078,0.7692307692307692
adam brazda,rostyslav kliucuk,22,6,4.136363636363637,78.36363636363636,2025-08-25 20:30:00,0.2727272727272727,0.7272727272727273
adam brazda,tomas holik,24,6,4.083333333333333,77.45833333333333,2026-04-02 14:00:00,0.25,0.75
adam brazda,tomas zahradnik,39,13,4.0256410256410255,74.17948717948718,2026-01-28 20:00:00,0.3333333333333333,0.6666666666666667
adam brazda,vratislav petracek,22,6,4.181818181818182,79.72727272727273,2024-12-04 16:30:00,0.2727272727272727,0.7272727272727273
adam brazda,yirzhi louda,110,30,4.090909090909091,76.69090909090909,2026-03-04 18:00:00,0.2727272727272727,0.7272727272727273
