match_id,date,player1,player2,sets1,sets2,four_plus
11590743,2026-03-15 13:30:00,Jan Kanera,Martin Huk,3,0,0
11590582,2026-03-15 13:30:00,Milan Kolar,David Barton,3,2,1
11590557,2026-03-15 13:30:00,Radim Urbaniec,Matej Grundel,2,3,1
11589645,2026-03-15 13:30:00,Ondrej Paril,Jan Szotkowski,2,3,1
11589640,2026-03-15 13:30:00,Jaroslav Prokupek,Yurii Holovatiuk,3,2,1
11590770,2026-03-15 13:00:00,Michal Cabis,Jakub Pilch,3,2,1
11590579,2026-03-15 13:00:00,Radek Bartunek,Petr Vojtech,1,3,1
11590570,2026-03-15 13:00:00,Tomas Barta,Jiri Plachy,3,1,1
11590488,2026-03-15 13:00:00,Dan Volhejn,Tomas Prosa,3,2,1
11589646,2026-03-15 13:00:00,Michael Sedlacek,Jan Dzida,1,3,1
11590571,2026-03-15 12:30:00,Yurii Holovatiuk,Tomas Barta,1,3,1
11589649,2026-03-15 12:30:00,Jan Szotkowski,Michael Sedlacek,1,3,1
11590491,2026-03-15 12:30:00,Martin Huk,Dan Volhejn,3,2,1
11590735,2026-03-15 12:30:00,Matej Grundel,Michal Cabis,3,1,1
11590751,2026-03-15 12:00:00,Milan Kolar,Petr Vojtech,3,0,0
11590742,2026-03-15 12:00:00,Jan Kanera,Tomas Prosa,3,1,1
11590552,2026-03-15 12:00:00,Radim Urbaniec,Jakub Pilch,0,3,0
11589647,2026-03-15 12:00:00,Ondrej Paril,Jan Dzida,1,3,1
11589642,2026-03-15 12:00:00,Jaroslav Prokupek,Jiri Plachy,3,2,1
11590625,2026-03-15 11:30:00,Petr Vojtech,David Barton,3,1,1
11590178,2026-03-15 11:30:00,Jiri Plachy,Yurii Holovatiuk,2,3,1
11589815,2026-03-15 11:30:00,Jakub Pilch,Matej Grundel,2,3,1
11589713,2026-03-15 11:30:00,Jan Dzida,Jan Szotkowski,3,1,1
11589792,2026-03-15 11:00:00,Michal Cabis,Radim Urbaniec,3,2,1
11589641,2026-03-15 11:00:00,Tomas Barta,Jaroslav Prokupek,1,3,1
11589648,2026-03-15 11:00:00,Michael Sedlacek,Ondrej Paril,0,3,0
11589920,2026-03-15 11:00:00,Radek Bartunek,Milan Kolar,0,3,0
11590484,2026-03-15 11:00:00,Dan Volhejn,Jan Kanera,3,0,0
11594258,2026-03-15 10:30:00,Jan Pleskot,Martin Stefek,3,1,1
11594255,2026-03-15 10:30:00,Zbynek Zientek,Petr Banot,0,3,0
11594254,2026-03-15 10:30:00,Vladimir Cermak,Hoang Tai Nguyen Ba,3,0,0
11594162,2026-03-15 10:30:00,Martin Huk,Tomas Prosa,0,3,0
11594129,2026-03-15 10:30:00,Dalimil Machander,Adrian Walek,3,0,0
11594130,2026-03-15 10:00:00,Evzen Rychlik,Martin Pavliska,3,0,0
11594148,2026-03-15 10:00:00,Martin Tacinec,Milan Cetner,3,2,1
11594144,2026-03-15 10:00:00,Petr Budinsky,Jiri Plachy,1,3,1
11594149,2026-03-15 10:00:00,Daniel Tyn,Miroslav Kowolowski,3,1,1
11594155,2026-03-15 10:00:00,Ales Barton,Vratislav Petracek,0,3,0
11590748,2026-03-15 09:30:00,Evzen Rychlik,Dalimil Machander,0,3,0
11590733,2026-03-15 09:30:00,Ales Barton,Martin Huk,2,3,1
11590578,2026-03-15 09:30:00,Jiri Plachy,Hoang Tai Nguyen Ba,2,3,1
11590555,2026-03-15 09:30:00,Martin Tacinec,Milan Cetner,3,1,1
11590544,2026-03-15 09:30:00,Miroslav Kowolowski,Petr Banot,2,3,1
11590489,2026-03-15 09:00:00,Vratislav Petracek,Tomas Prosa,2,3,1
11590747,2026-03-15 09:00:00,Adrian Walek,Martin Pavliska,3,0,0
11590741,2026-03-15 09:00:00,Martin Stefek,Jan Pleskot,2,3,1
11590596,2026-03-15 09:00:00,Zbynek Zientek,Daniel Tyn,3,2,1
11590573,2026-03-15 09:00:00,Vladimir Cermak,Petr Budinsky,2,3,1
11590685,2026-03-15 08:30:00,Petr Banot,Zbynek Zientek,0,3,0
11590551,2026-03-15 08:30:00,Milan Cetner,Martin Stefek,0,3,0
11590487,2026-03-15 08:30:00,Martin Huk,Vratislav Petracek,3,2,1
11590692,2026-03-15 08:30:00,Hoang Tai Nguyen Ba,Vladimir Cermak,2,3,1
11590745,2026-03-15 08:30:00,Dalimil Machander,Adrian Walek,3,1,1
11590678,2026-03-15 08:00:00,Evzen Rychlik,Martin Pavliska,3,0,0
11590615,2026-03-15 08:00:00,Martin Tacinec,Jan Pleskot,0,3,0
11590572,2026-03-15 08:00:00,Jiri Plachy,Petr Budinsky,0,3,0
11590553,2026-03-15 08:00:00,Ales Barton,Tomas Prosa,1,3,1
11590543,2026-03-15 08:00:00,Miroslav Kowolowski,Daniel Tyn,2,3,1
11590705,2026-03-15 07:30:00,Jan Pleskot,Milan Cetner,3,2,1
11590567,2026-03-15 07:30:00,Petr Budinsky,Hoang Tai Nguyen Ba,1,3,1
11590464,2026-03-15 07:30:00,Martin Pavliska,Dalimil Machander,1,3,1
11590176,2026-03-15 07:30:00,Tomas Prosa,Martin Huk,1,3,1
11589482,2026-03-15 07:30:00,Daniel Tyn,Petr Banot,2,3,1
11590473,2026-03-15 07:00:00,Adrian Walek,Evzen Rychlik,3,1,1
11589819,2026-03-15 07:00:00,Martin Stefek,Martin Tacinec,3,1,1
11589878,2026-03-15 07:00:00,Zbynek Zientek,Miroslav Kowolowski,3,1,1
11590485,2026-03-15 07:00:00,Vratislav Petracek,Ales Barton,2,3,1
11590725,2026-03-15 07:00:00,Vladimir Cermak,Jiri Plachy,3,1,1
11593427,2026-03-15 04:30:00,Martin Sychra,Tomas Janata,2,3,1
11593417,2026-03-15 04:30:00,Frantisek Briza,Dmitro Parhomenko,2,3,1
11593416,2026-03-15 04:30:00,Viktor Vejvoda,Petr Sebera,0,3,0
11593335,2026-03-15 04:03:00,Michal Regner,Jiri Louda,0,3,0
11593334,2026-03-15 04:00:00,Ales Bayer,Daniel Tuma,1,3,1
11593333,2026-03-15 04:00:00,Marek Placek,Kyryl Darin,0,3,0
11586451,2026-03-15 03:30:00,Marek Placek,Dmitro Parhomenko,1,3,1
11585077,2026-03-15 03:30:00,Daniel Tuma,Tomas Dousa,3,0,0
11584988,2026-03-15 03:30:00,Jiri Louda,Viktor Vejvoda,2,3,1
11586043,2026-03-15 03:00:00,Tomas Janata,Ales Bayer,3,1,1
11584977,2026-03-15 03:00:00,Petr Sebera,Michal Regner,3,0,0
11586415,2026-03-15 03:00:00,Milan Smrcek,Kyryl Darin,3,2,1
11585901,2026-03-15 02:30:00,Marcel Pikous,Jiri Louda,2,3,1
11585072,2026-03-15 02:30:00,Martin Sychra,Daniel Tuma,3,0,0
11586411,2026-03-15 02:30:00,Frantisek Briza,Marek Placek,3,0,0
11586412,2026-03-15 02:00:00,Milan Smrcek,Dmitro Parhomenko,0,3,0
11586407,2026-03-15 02:00:00,Tomas Janata,Tomas Dousa,3,0,0
11584981,2026-03-15 02:00:00,Petr Sebera,Viktor Vejvoda,2,3,1
11586538,2026-03-15 01:30:00,Kyryl Darin,Frantisek Briza,1,3,1
11586042,2026-03-15 01:30:00,Michal Regner,Marcel Pikous,3,1,1
11585908,2026-03-15 01:30:00,Ales Bayer,Martin Sychra,3,2,1
11584978,2026-03-15 01:00:00,Jiri Louda,Petr Sebera,1,3,1
11586824,2026-03-15 01:00:00,Marek Placek,Milan Smrcek,3,0,0
11585073,2026-03-15 01:00:00,Daniel Tuma,Tomas Janata,2,3,1
11585905,2026-03-15 00:30:00,Tomas Dousa,Martin Sychra,1,3,1
11584979,2026-03-15 00:30:00,Viktor Vejvoda,Marcel Pikous,3,2,1
11586713,2026-03-15 00:30:00,Dmitro Parhomenko,Frantisek Briza,2,3,1
11586429,2026-03-15 00:00:00,Kyryl Darin,Marek Placek,3,2,1
11585903,2026-03-15 00:00:00,Michal Regner,Jiri Louda,3,2,1
11585070,2026-03-15 00:00:00,Ales Bayer,Daniel Tuma,3,1,1
11585897,2026-03-14 23:30:00,Martin Sychra,Tomas Janata,3,1,1
11585280,2026-03-14 23:30:00,Frantisek Briza,Milan Smrcek,3,2,1
11584987,2026-03-14 23:30:00,Marcel Pikous,Petr Sebera,3,2,1
11584974,2026-03-14 23:00:00,Viktor Vejvoda,Michal Regner,3,0,0
11586448,2026-03-14 23:00:00,Dmitro Parhomenko,Kyryl Darin,3,0,0
11586041,2026-03-14 23:00:00,Tomas Dousa,Ales Bayer,1,3,1
11592309,2026-03-14 22:30:00,Filip Jungman,Jaroslav Strnad 1964,3,0,0
11592319,2026-03-14 22:30:00,Radim Adam,Roman Guliak,3,2,1
11592310,2026-03-14 22:30:00,Zdenek Babinec,Marek Holub,3,1,1
11592304,2026-03-14 22:30:00,Martin Sychra,Michal Vondrak,3,2,1
11592247,2026-03-14 22:30:00,Julius Didi,Miloslav Lubas,3,0,0
11592311,2026-03-14 22:28:57,Adam Radim,Roman Guliak,3,2,1
11592287,2026-03-14 22:06:00,Petr Osvald,Marek Blejchar,3,1,1
11592851,2026-03-14 22:00:00,Daniel Unzeitig,Michal Chalupa,1,3,1
11592253,2026-03-14 22:00:00,Miroslav Tuma,Martin Stefek,3,0,0
11592248,2026-03-14 22:00:00,Jiri Grohsgott,Leos Havrda,3,1,1
11592848,2026-03-14 22:00:00,Tomas Janata,Daniel Tuma,3,1,1
11586600,2026-03-14 21:30:00,Miloslav Lubas,Leos Havrda,3,0,0
11586662,2026-03-14 21:30:00,Michal Chalupa,Daniel Unzeitig,1,3,1
11586395,2026-03-14 21:30:00,Radim Adam,Petr Osvald,3,2,1
11584983,2026-03-14 21:30:00,Miroslav Tuma,Jaroslav Strnad 1964,1,3,1
