match_id,date,player1,player2
11545968,2026-03-06 14:00:00,Jakub Levicky,Jan Kantor
11545969,2026-03-06 14:00:00,Zdenek Babinec,Michal Chalupa
11545976,2026-03-06 14:00:00,Ondrej Svacha,Denis Hofman
11546004,2026-03-06 14:00:00,Miloslav Lubas,Matej Pycha
11546008,2026-03-06 14:00:00,Jakub Tazler,Jakub Hradecky
11545913,2026-03-06 14:30:00,Zbynek Pagac,Marek Holub
11545925,2026-03-06 14:30:00,Josef Pelikan,Jiri Grohsgott
11545932,2026-03-06 14:30:00,Tomas Zahradnik,Milan Klement
11545959,2026-03-06 14:30:00,Libor Jemelka,Radomir Vavrecka
11545979,2026-03-06 14:30:00,Martin Sobisek,Ales Bayer
11546202,2026-03-06 15:00:00,Ales Bayer,Jakub Hradecky
11546053,2026-03-06 15:00:00,Marek Holub,Michal Chalupa
11545963,2026-03-06 15:00:00,Milan Klement,Denis Hofman
11545946,2026-03-06 15:00:00,Jiri Grohsgott,Matej Pycha
11545980,2026-03-06 15:00:00,Radomir Vavrecka,Jan Kantor
11545896,2026-03-06 15:30:00,Jakub Levicky,Libor Jemelka
11545960,2026-03-06 15:30:00,Miloslav Lubas,Josef Pelikan
11545999,2026-03-06 15:30:00,Zdenek Babinec,Zbynek Pagac
11546010,2026-03-06 15:30:00,Ondrej Svacha,Tomas Zahradnik
11546462,2026-03-06 15:30:00,Jakub Tazler,Martin Sobisek
11545943,2026-03-06 17:00:00,Filip Jungman,Milan Smrcek
11544482,2026-03-06 17:00:00,Jiri Dedek,Jiri Plachy
11544809,2026-03-06 17:00:00,Viktor Vejvoda,Jiri Louda
11546009,2026-03-06 17:30:00,Miroslav Novotny,Adam Svoboda
11545907,2026-03-06 17:30:00,Karel Brozik,Michal Regner
11545931,2026-03-06 17:30:00,Martin Vizek,Tomas Dousa
11544591,2026-03-06 18:00:00,Jiri Louda,Marcel Pikous
11545947,2026-03-06 18:00:00,Milan Smrcek,Roman Urban
11546463,2026-03-06 18:00:00,Jiri Plachy,Hoang Tai Nguyen Ba
11545911,2026-03-06 18:30:00,Jiri Dedek,Martin Vizek
11545927,2026-03-07 00:30:00,Viktor Vejvoda,Karel Brozik
11545933,2026-03-07 00:30:00,Filip Jungman,Miroslav Novotny
11546934,2026-03-07 01:00:00,Roman Urban,Adam Svoboda
11545914,2026-03-07 01:00:00,Marcel Pikous,Michal Regner
11546199,2026-03-07 01:00:00,Hoang Tai Nguyen Ba,Tomas Dousa
11546935,2026-03-07 01:30:00,Jiri Louda,Karel Brozik
11546000,2026-03-07 01:30:00,Jiri Plachy,Martin Vizek
11545970,2026-03-07 01:30:00,Milan Smrcek,Miroslav Novotny
11545934,2026-03-07 02:00:00,Michal Regner,Viktor Vejvoda
11545971,2026-03-07 02:00:00,Adam Svoboda,Filip Jungman
11545978,2026-03-07 02:00:00,Tomas Dousa,Jiri Dedek
11546201,2026-03-07 02:30:00,Martin Vizek,Hoang Tai Nguyen Ba
11545957,2026-03-07 02:30:00,Karel Brozik,Marcel Pikous
11545975,2026-03-07 02:30:00,Miroslav Novotny,Roman Urban
11545983,2026-03-07 03:00:00,Tomas Dousa,Jiri Plachy
11546470,2026-03-07 03:00:00,Michal Regner,Jiri Louda
11545961,2026-03-07 03:00:00,Adam Svoboda,Milan Smrcek
11546469,2026-03-07 03:30:00,Marcel Pikous,Viktor Vejvoda
11546151,2026-03-07 03:30:00,Hoang Tai Nguyen Ba,Jiri Dedek
11545997,2026-03-07 03:30:00,Roman Urban,Filip Jungman
11549478,2026-03-07 07:00:00,Dmitro Parhomenko,Jaroslav Prokupek
11549502,2026-03-07 07:00:00,Pavel Berdych,Jiri Svec
11549550,2026-03-07 07:00:00,Ivo Taichman,Alexandr Virag
11549612,2026-03-07 07:00:00,Dalimil Machander,Richard Skacelik
11549739,2026-03-07 07:00:00,Kyryl Darin,Jiri Havel
11549494,2026-03-07 07:30:00,Adrian Walek,Jaroslav Schwan
11549515,2026-03-07 07:30:00,Vaclav Hruska Snr,Jaroslav Strnad 1964
11549537,2026-03-07 07:30:00,Michal Vedmoch,Josef Belovsky
r,2026-03-07 07:30:00,Milos Pospisil,Vaclav Dolezal
r,2026-03-07 07:30:00,Antonin Schneeberger,Vitezslav Bosak
r,2026-03-07 08:00:00,Jaroslav Prokupek,Michal Vedmoch
r,2026-03-07 08:00:00,Jiri Havel,Milos Pospisil
r,2026-03-07 08:00:00,Jiri Svec,Vaclav Hruska Snr
r,2026-03-07 08:00:00,Alexandr Virag,Antonin Schneeberger
r,2026-03-07 08:00:00,Richard Skacelik,Adrian Walek
r,2026-03-07 08:30:00,Jaroslav Schwan,Dalimil Machander
r,2026-03-07 08:30:00,Josef Belovsky,Dmitro Parhomenko
r,2026-03-07 08:30:00,Jaroslav Strnad 1964,Pavel Berdych
r,2026-03-07 08:30:00,Vaclav Dolezal,Kyryl Darin
r,2026-03-07 08:30:00,Vitezslav Bosak,Ivo Taichman
r,2026-03-07 09:00:00,Pavel Berdych,Vaclav Hruska Snr
r,2026-03-07 09:00:00,Dmitro Parhomenko,Michal Vedmoch
r,2026-03-07 09:00:00,Ivo Taichman,Antonin Schneeberger
r,2026-03-07 09:00:00,Dalimil Machander,Adrian Walek
r,2026-03-07 09:00:00,Kyryl Darin,Milos Pospisil
r,2026-03-07 09:30:00,Jiri Havel,Vaclav Dolezal
r,2026-03-07 09:30:00,Alexandr Virag,Vitezslav Bosak
r,2026-03-07 09:30:00,Richard Skacelik,Jaroslav Schwan
r,2026-03-07 09:30:00,Jaroslav Prokupek,Josef Belovsky
r,2026-03-07 09:30:00,Jiri Svec,Jaroslav Strnad 1964
11549789,2026-03-07 11:00:00,Daniel Tuma,Tomas Barta
11549725,2026-03-07 11:00:00,Tomas Hrabec,Filip Zurek
r,2026-03-07 11:00:00,David Horak,Milan Kolar
11549551,2026-03-07 11:00:00,Julius Didi,Matej Kostak
11549722,2026-03-07 11:00:00,Ondrej Homola,Matej Levicky
11549476,2026-03-07 11:30:00,Miroslav Barta,Ladislav Havel 1956
11549479,2026-03-07 11:30:00,Lukas Malek,Jiri Havel
11549535,2026-03-07 11:30:00,Petr Banot,Zdenek Luksa
11549740,2026-03-07 11:30:00,Daniel Priesol,Daniel Tyn
11549791,2026-03-07 11:30:00,Patrik Pycha,Marek Chlebecek
r,2026-03-07 12:00:00,Tomas Barta,Patrik Pycha
r,2026-03-07 12:00:00,Milan Kolar,Lukas Malek
r,2026-03-07 12:00:00,Filip Zurek,Daniel Priesol
r,2026-03-07 12:00:00,Matej Kostak,Miroslav Barta
r,2026-03-07 12:00:00,Matej Levicky,Petr Banot
r,2026-03-07 12:30:00,Marek Chlebecek,Daniel Tuma
r,2026-03-07 12:30:00,Daniel Tyn,Tomas Hrabec
r,2026-03-07 12:30:00,Zdenek Luksa,Ondrej Homola
11549776,2026-03-07 12:30:00,Ladislav Havel 1956,Julius Didi
r,2026-03-07 12:30:00,Jiri Havel,David Horak
r,2026-03-07 13:00:00,Julius Didi,Miroslav Barta
r,2026-03-07 13:00:00,David Horak,Lukas Malek
r,2026-03-07 13:00:00,Daniel Tuma,Patrik Pycha
r,2026-03-07 13:00:00,Tomas Hrabec,Daniel Priesol
r,2026-03-07 13:00:00,Ondrej Homola,Petr Banot
r,2026-03-07 13:30:00,Filip Zurek,Daniel Tyn
r,2026-03-07 13:30:00,Milan Kolar,Jiri Havel
r,2026-03-07 13:30:00,Matej Levicky,Zdenek Luksa
11549777,2026-03-07 13:30:00,Matej Kostak,Ladislav Havel 1956
r,2026-03-07 13:30:00,Tomas Barta,Marek Chlebecek
r,2026-03-07 15:00:00,Petr Sebera,Karel Schopf
r,2026-03-07 15:00:00,Marek Chlebecek,Tomas Dousa
r,2026-03-07 15:00:00,Jiri Grohsgott,Radek Golis
r,2026-03-07 15:00:00,Vojtech Kocian,Miroslav Stolba
11549482,2026-03-07 15:00:00,Matyas Kolek,Alois Kanak
11549475,2026-03-07 15:30:00,Milan Cetner,Miroslav Barta
r,2026-03-07 15:30:00,Martin Sychra,Jakub Hradecky
r,2026-03-07 15:30:00,Ales Bayer,Tomas Barta
r,2026-03-07 15:30:00,Ondrej Homola,Matej Levicky
r,2026-03-07 15:30:00,Marcel Proksa,David Zigmund
r,2026-03-07 16:00:00,Karel Schopf,Martin Sychra
r,2026-03-07 16:00:00,Alois Kanak,Ondrej Homola
r,2026-03-07 16:00:00,Radek Golis,Milan Cetner
r,2026-03-07 16:00:00,Tomas Dousa,Ales Bayer
r,2026-03-07 16:00:00,Miroslav Stolba,Marcel Proksa
r,2026-03-07 16:30:00,Jakub Hradecky,Petr Sebera
r,2026-03-07 16:30:00,Tomas Barta,Marek Chlebecek
r,2026-03-07 16:30:00,Matej Levicky,Matyas Kolek
r,2026-03-07 16:30:00,Miroslav Barta,Jiri Grohsgott
r,2026-03-07 16:30:00,David Zigmund,Vojtech Kocian
r,2026-03-07 17:00:00,Vojtech Kocian,Marcel Proksa
r,2026-03-07 17:00:00,Marek Chlebecek,Ales Bayer
r,2026-03-07 17:00:00,Jiri Grohsgott,Milan Cetner
r,2026-03-07 17:00:00,Matyas Kolek,Ondrej Homola
r,2026-03-07 17:00:00,Petr Sebera,Martin Sychra
r,2026-03-07 17:30:00,Karel Schopf,Jakub Hradecky
r,2026-03-07 17:30:00,Tomas Dousa,Tomas Barta
r,2026-03-07 17:30:00,Miroslav Stolba,David Zigmund
r,2026-03-07 17:30:00,Radek Golis,Miroslav Barta
r,2026-03-07 17:30:00,Alois Kanak,Matej Levicky
11549683,2026-03-07 19:00:00,Tadeas Zika,Matyas Navedla
11549723,2026-03-07 19:00:00,Michal Vedmoch,Lukas Krok
11549724,2026-03-07 19:00:00,Milan Klement,Robin Pacha
r,2026-03-07 19:00:00,David Vavrecka,Zdenek Luksa
r,2026-03-07 19:00:00,Martin Sychra,Karel Schopf
r,2026-03-07 19:30:00,Vojtech Kocian,Marcel Proksa
r,2026-03-07 19:30:00,Denis Hofman,Ondrej Svacha
r,2026-03-07 19:30:00,Jan Bernat,Pavel Fojt
11549684,2026-03-07 19:30:00,Michal Hrabec,Radim Urbaniec
r,2026-03-07 19:30:00,Petr Sebera,Ales Bayer
r,2026-03-07 20:00:00,Matyas Navedla,Michal Hrabec
r,2026-03-07 20:00:00,Zdenek Luksa,Vojtech Kocian
r,2026-03-07 20:00:00,Robin Pacha,Denis Hofman
r,2026-03-07 20:00:00,Karel Schopf,Petr Sebera
r,2026-03-07 20:00:00,Lukas Krok,Jan Bernat
11549878,2026-03-07 20:30:00,Radim Urbaniec,Tadeas Zika
r,2026-03-07 20:30:00,Pavel Fojt,Michal Vedmoch
r,2026-03-07 20:30:00,Ales Bayer,Martin Sychra
r,2026-03-07 20:30:00,Marcel Proksa,David Vavrecka
r,2026-03-07 20:30:00,Ondrej Svacha,Milan Klement
r,2026-03-07 21:00:00,David Vavrecka,Vojtech Kocian
r,2026-03-07 21:00:00,Milan Klement,Denis Hofman
r,2026-03-07 21:00:00,Michal Vedmoch,Jan Bernat
r,2026-03-07 21:00:00,Martin Sychra,Petr Sebera
11549879,2026-03-07 21:00:00,Tadeas Zika,Michal Hrabec
r,2026-03-07 21:30:00,Karel Schopf,Ales Bayer
r,2026-03-07 21:30:00,Lukas Krok,Pavel Fojt
r,2026-03-07 21:30:00,Zdenek Luksa,Marcel Proksa
r,2026-03-07 21:30:00,Matyas Navedla,Radim Urbaniec
r,2026-03-07 21:30:00,Robin Pacha,Ondrej Svacha
r,2026-03-07 23:00:00,Josef Pelikan,Matej Pycha
11549726,2026-03-07 23:00:00,Tomas Andrle,Yurii Holovatiuk
r,2026-03-07 23:00:00,Jakub Tazler,Daniel Tuma
11549969,2026-03-07 23:30:00,Petr Picek,Radek Bartunek
11549631,2026-03-07 23:30:00,Jiri Grohsgott,Jaromir Cernik
11549792,2026-03-07 23:30:00,Vladimir Cermak,Patrik Pycha
11549968,2026-03-08 00:00:00,Daniel Tuma,Tomas Janata
r,2026-03-08 00:00:00,Yurii Holovatiuk,David Horak
r,2026-03-08 00:00:00,Matej Pycha,Leos Havrda
r,2026-03-08 00:30:00,Jakub Tazler,Vladimir Cermak
r,2026-03-08 00:30:00,Josef Pelikan,Jiri Grohsgott
r,2026-03-08 00:30:00,Tomas Andrle,Petr Picek
r,2026-03-08 01:00:00,Tomas Janata,Patrik Pycha
r,2026-03-08 01:00:00,David Horak,Radek Bartunek
r,2026-03-08 01:00:00,Leos Havrda,Jaromir Cernik
r,2026-03-08 01:30:00,Yurii Holovatiuk,Petr Picek
r,2026-03-08 01:30:00,Daniel Tuma,Vladimir Cermak
r,2026-03-08 01:30:00,Matej Pycha,Jiri Grohsgott
r,2026-03-08 02:00:00,Patrik Pycha,Jakub Tazler
r,2026-03-08 02:00:00,Jaromir Cernik,Josef Pelikan
r,2026-03-08 02:00:00,Radek Bartunek,Tomas Andrle
r,2026-03-08 02:30:00,Petr Picek,David Horak
r,2026-03-08 02:30:00,Vladimir Cermak,Tomas Janata
r,2026-03-08 02:30:00,Jiri Grohsgott,Leos Havrda
r,2026-03-08 03:00:00,Jaromir Cernik,Matej Pycha
r,2026-03-08 03:00:00,Radek Bartunek,Yurii Holovatiuk
r,2026-03-08 03:00:00,Patrik Pycha,Daniel Tuma
r,2026-03-08 03:30:00,Leos Havrda,Josef Pelikan
r,2026-03-08 03:30:00,Tomas Janata,Jakub Tazler
r,2026-03-08 03:30:00,David Horak,Tomas Andrle
