match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11619429,2026-03-19 22:45:00,Henryk Tkaczyk,Maciej Lamer,0.8,0.6666666666666666,0.5333333333333333,10,30,45,0.9,0.8,0.8333333333333334,0.6666666666666666,0.7000000000000001
11618920,2026-03-19 22:45:00,Marek Tkocz,Wojciech Urban,0.7,0.8636363636363636,0.8636363636363636,10,22,22,1.0,0.4,0.7333333333333333,0.5,0.7
11618931,2026-03-19 23:00:00,Jacek Przewlocki,Miroslaw Piecowski,0.5,0.6333333333333333,0.7027027027027027,10,30,37,0.4,0.8,0.6333333333333333,0.8,0.5
11615159,2026-03-19 23:00:00,Mateusz Zagajewski,Arkadiusz Mugowski,0.6,0.6333333333333333,0.5849056603773585,10,30,53,0.5,0.4,0.4666666666666667,0.5333333333333333,0.49999999999999994
11614563,2026-03-19 23:00:00,Piotr Cyrnek,Josef Braun,0.8,0.8,0.8,10,20,20,0.8,0.6,0.7666666666666667,0.6,0.7
11619481,2026-03-19 23:05:00,Kamil Delikatny,Pawel Chojnacki,0.5,0.6470588235294118,0.6470588235294118,10,17,17,0.6,0.8,0.5,0.7,0.20000000000000007
11614888,2026-03-19 23:10:00,Dawid Dytko,Michal Paszkiewicz,0.8233333333333333,0.8233333333333333,0.8233333333333333,5,5,5,0.8,0.4,0.7666666666666667,0.6666666666666666,1.0
11616469,2026-03-19 23:20:00,Wojciech Iwasyszyn,Igor Dabrowski,0.8,0.8666666666666667,0.7833333333333333,10,30,60,0.7,0.4,0.6333333333333333,0.5666666666666667,0.29999999999999993
11615670,2026-03-19 23:20:00,Michal Benes,Antoni Witkowski,0.7,0.75,0.75,10,20,20,0.6,0.7,0.5666666666666667,0.6333333333333333,0.19999999999999996
11614530,2026-03-19 23:25:00,Karol Sulkowski,Aleksander Lilien,0.7626666666666667,0.7626666666666667,0.7626666666666667,9,9,9,0.5,0.7,0.6666666666666666,0.6666666666666666,0.4999999999999999
11614560,2026-03-19 23:30:00,Karol Wisniewski,Miroslav Sklensky,0.6,0.6,0.4166666666666667,10,30,60,0.7,0.6,0.6,0.6,0.19999999999999996
11614504,2026-03-19 23:35:00,Milosz Cesarz,Marek Tkocz,0.576,0.576,0.576,3,3,3,0.4,1.0,0.5333333333333333,0.7666666666666667,0.7
11615038,2026-03-19 23:40:00,Adam Dosz,Marcin Jadczyk,0.7,0.6,0.6666666666666666,10,30,60,0.7,0.8,0.7333333333333333,0.7333333333333333,0.20000000000000007
11619229,2026-03-19 23:45:00,Jacek Przewlocki,Igor Dabrowski,0.7,0.7333333333333333,0.75,10,30,52,0.4,0.4,0.6333333333333333,0.5666666666666667,0.0
11614953,2026-03-19 23:50:00,Artur Sobel,Michal Minda,0.6,0.7,0.7666666666666667,10,30,60,0.8,0.9,0.8,0.8333333333333334,0.39999999999999997
11615153,2026-03-19 23:55:00,Artur Daniel,Adrian Spychala,0.6,0.6,0.5666666666666667,10,30,60,0.9,0.3,0.7333333333333333,0.5,0.6000000000000001
11617114,2026-03-20 00:00:00,Wojciech Urban,Jakub Nowak,0.8,0.8333333333333334,0.8235294117647058,10,30,34,0.4,0.7,0.5,0.6333333333333333,0.3999999999999999
11615671,2026-03-20 00:05:00,Piotr Cyrnek,Michal Benes,0.7,0.6666666666666666,0.6666666666666666,10,12,12,0.8,0.6,0.7666666666666667,0.5666666666666667,0.4
11619228,2026-03-20 00:10:00,Mateusz Zagajewski,Karol Sulkowski,0.7,0.7,0.7,10,10,10,0.5,0.5,0.4666666666666667,0.6666666666666666,0.19999999999999996
11618445,2026-03-20 00:10:00,Miroslaw Piecowski,Wojciech Iwasyszyn,0.7,0.7,0.6875,10,30,48,0.8,0.8,0.8,0.6333333333333333,0.19999999999999996
11615409,2026-03-20 00:15:00,Jakub Kwapis,Karol Wisniewski,0.4,0.5666666666666667,0.5,10,30,48,0.7,0.7,0.6333333333333333,0.6,0.09999999999999998
11619248,2026-03-20 00:25:00,Dawid Dytko,Milosz Cesarz,0.596,0.596,0.596,2,2,2,0.8,0.4,0.7666666666666667,0.5333333333333333,1.0
11615669,2026-03-20 00:25:00,Marcin Jadczyk,Josef Braun,0.8,0.7666666666666667,0.6833333333333333,10,30,60,0.8,0.6,0.7333333333333333,0.6,0.6000000000000001
11619247,2026-03-20 00:30:00,Michal Minda,Arkadiusz Mugowski,0.6,0.6333333333333333,0.7,10,30,60,0.9,0.4,0.8333333333333334,0.5333333333333333,0.6
11618442,2026-03-20 00:35:00,Jacek Przewlocki,Wojciech Iwasyszyn,0.8,0.7,0.7222222222222222,10,30,36,0.4,0.8,0.6333333333333333,0.6333333333333333,0.5
11615408,2026-03-20 00:35:00,Adrian Spychala,Krzysztof Wloczko,0.5,0.5666666666666667,0.6166666666666667,10,30,60,0.3,0.7,0.5,0.6333333333333333,0.49999999999999994
11619316,2026-03-20 00:50:00,Jakub Nowak,Michal Paszkiewicz,0.7180000000000001,0.7180000000000001,0.7180000000000001,8,8,8,0.7,0.4,0.6333333333333333,0.6666666666666666,0.29999999999999993
11615661,2026-03-20 00:50:00,Adam Dosz,Antoni Witkowski,0.8,0.6,0.55,10,30,60,0.7,0.7,0.7333333333333333,0.6333333333333333,0.09999999999999998
11619315,2026-03-20 00:55:00,Artur Sobel,Aleksander Lilien,0.7,0.7,0.6666666666666666,10,30,60,0.8,0.7,0.8,0.6666666666666666,0.20000000000000007
11619314,2026-03-20 01:00:00,Igor Dabrowski,Miroslaw Piecowski,1.0,0.9,0.8,10,30,60,0.4,0.8,0.5666666666666667,0.8,0.5
