match_id,match_date,player1,player2,match_link
15-04-2026-michal-skorski-milosz-kukawka,2026-04-15 12:10:00,Michal Skorski,Milosz Kukawka,https://scores24.live/en/table-tennis/15-04-2026-michal-skorski-milosz-kukawka
15-04-2026-jakub-kosowski-petr-david,2026-04-15 12:15:00,Jakub Kosowski,Petr David,https://scores24.live/en/table-tennis/15-04-2026-jakub-kosowski-petr-david
15-04-2026-jakub-glanowski-aleksander-lilien,2026-04-15 12:15:00,Jakub Glanowski,Aleksander Lilien,https://scores24.live/en/table-tennis/15-04-2026-jakub-glanowski-aleksander-lilien
15-04-2026-kacper-adamus-smolka-kamil,2026-04-15 12:20:00,Kacper Adamus,Kamil Smolka,https://scores24.live/en/table-tennis/15-04-2026-kacper-adamus-smolka-kamil
15-04-2026-miroslav-sklensky-jakub-kuzmicz,2026-04-15 12:20:00,Miroslav Sklensky,Jakub Kuzmicz,https://scores24.live/en/table-tennis/15-04-2026-miroslav-sklensky-jakub-kuzmicz
15-04-2026-martin-olejnik-patrik-klos-1,2026-04-15 12:35:00,Martin Olejnik,Patrik Klos,https://scores24.live/en/table-tennis/15-04-2026-martin-olejnik-patrik-klos-1
15-04-2026-stapor-rafal-blazej-warpas,2026-04-15 12:35:00,Stapor Rafal,Blazej Warpas,https://scores24.live/en/table-tennis/15-04-2026-stapor-rafal-blazej-warpas
15-04-2026-michal-minda-bartek-sulkowski,2026-04-15 12:40:00,Michal Minda,Bartek Sulkowski,https://scores24.live/en/table-tennis/15-04-2026-michal-minda-bartek-sulkowski
15-04-2026-oskar-jadach-juzek-sebastian,2026-04-15 12:45:00,Oskar Jadach,Sebastian Juzek,https://scores24.live/en/table-tennis/15-04-2026-oskar-jadach-juzek-sebastian
15-04-2026-maksymilian-miastowski-krzysztof-kapik,2026-04-15 12:45:00,Maksymilian Miastowski,Krzysztof Kapik,https://scores24.live/en/table-tennis/15-04-2026-maksymilian-miastowski-krzysztof-kapik
15-04-2026-grzegorz-felkel-jakub-kosowski-1,2026-04-15 12:55:00,Grzegorz Felkel,Jakub Kosowski,https://scores24.live/en/table-tennis/15-04-2026-grzegorz-felkel-jakub-kosowski-1
15-04-2026-bartlomiej-mrugala-michal-skorski,2026-04-15 13:00:00,Bartlomiej Mrugala,Michal Skorski,https://scores24.live/en/table-tennis/15-04-2026-bartlomiej-mrugala-michal-skorski
