player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
adam pavlik,jan simecek jnr,32,5,4.25,80.0625,2026-03-18 21:58:50,0.15625,0.84375
adam pavlik,jiri tichy,33,11,4.03030303030303,74.9090909090909,2026-04-13 17:15:00,0.3333333333333333,0.6666666666666667
adam pavlik,marek cizek,26,7,4.115384615384615,79.84615384615384,2026-03-18 21:00:00,0.2692307692307692,0.7307692307692308
adam pavlik,ondrej karpisek,22,3,4.136363636363637,75.22727272727273,2026-04-13 18:15:00,0.13636363636363635,0.8636363636363636
adam pavlik,pavel hala,21,8,3.8095238095238093,69.71428571428571,2026-04-15 14:00:00,0.38095238095238093,0.6190476190476191
adam pavlik,petr provaznik,28,7,4.178571428571429,77.89285714285714,2026-04-15 16:28:41,0.25,0.75
adam pavlik,roman merkl,33,2,4.575757575757576,86.3030303030303,2026-03-01 08:30:00,0.06060606060606061,0.9393939393939394
adam pavlik,tomas hanke,21,1,4.476190476190476,84.42857142857143,2026-04-10 16:33:43,0.047619047619047616,0.9523809523809523
adam pavlik,tomas kanka,23,8,3.9565217391304346,74.30434782608695,2026-04-10 15:30:00,0.34782608695652173,0.6521739130434783
adam radkovsky,david sabuka,22,5,4.045454545454546,75.95454545454545,2026-04-03 17:15:00,0.22727272727272727,0.7727272727272727
adam radkovsky,tomas hanke,23,8,4.0,72.95652173913044,2025-10-12 13:15:00,0.34782608695652173,0.6521739130434783
alan sys,martin vorel,34,6,4.117647058823529,78.6470588235294,2025-07-29 07:30:00,0.17647058823529413,0.8235294117647058
alan sys,oleh plyska,20,7,4.0,75.15,2025-07-29 06:30:00,0.35,0.65
aleksey krutko,alexander tuzhylin,74,58,3.2162162162162162,54.87837837837838,2024-07-28 04:25:00,0.7837837837837838,0.21621621621621623
aleksey krutko,dmytro rehotun,129,43,3.9612403100775193,74.55038759689923,2025-12-17 18:25:00,0.3333333333333333,0.6666666666666667
aleksey krutko,eduard rubtsov,37,23,3.5405405405405403,63.945945945945944,2025-01-17 04:25:00,0.6216216216216216,0.3783783783783784
aleksey krutko,evgeniy pismenniy,78,32,3.8846153846153846,75.3076923076923,2024-07-28 00:25:00,0.41025641025641024,0.5897435897435898
aleksey krutko,kostiantyn hrynenko,37,21,3.675675675675676,67.0,2025-12-19 22:55:00,0.5675675675675675,0.43243243243243246
aleksey krutko,oleksandr naida,102,24,4.117647058823529,76.49019607843137,2025-12-20 17:55:00,0.23529411764705882,0.7647058823529411
aleksey krutko,oleksandr v kovalchuk,33,14,3.757575757575758,69.36363636363636,2025-01-17 01:25:00,0.42424242424242425,0.5757575757575757
aleksey krutko,oleksii shyndel,75,23,4.04,74.89333333333333,2025-12-20 19:55:00,0.30666666666666664,0.6933333333333334
aleksey krutko,roman cherevko,80,25,3.95,75.4375,2024-07-27 22:25:00,0.3125,0.6875
aleksey krutko,roman gnoevoy,95,24,4.0,74.52631578947368,2025-12-20 21:25:00,0.25263157894736843,0.7473684210526316
aleksey krutko,spartak abalmaz,52,11,4.173076923076923,79.07692307692308,2025-11-15 19:05:00,0.21153846153846154,0.7884615384615384
aleksey krutko,valeriy melnik,82,34,3.6951219512195124,69.2439024390244,2024-07-28 02:25:00,0.4146341463414634,0.5853658536585367
aleksey krutko,vitalii khamurda,103,52,3.6990291262135924,68.41747572815534,2025-12-20 14:55:00,0.5048543689320388,0.49514563106796117
aleksey krutko,yevhen masko,78,25,3.8974358974358974,75.87179487179488,2024-07-27 23:25:00,0.32051282051282054,0.6794871794871795
ales brandtl,david sabuka,24,8,3.6666666666666665,70.20833333333333,2024-10-25 10:45:00,0.3333333333333333,0.6666666666666667
ales brandtl,ondrej karpisek,20,5,4.2,76.8,2024-09-29 17:30:00,0.25,0.75
alexander govorunets,andrii derevianko,46,10,4.239130434782608,78.80434782608695,2025-04-29 19:50:00,0.21739130434782608,0.782608695652174
alexander govorunets,artem yurkov,57,6,4.315789473684211,83.28070175438596,2025-04-29 15:50:00,0.10526315789473684,0.8947368421052632
alexander govorunets,dmytro neborak,27,11,3.925925925925926,74.22222222222223,2025-03-04 19:20:00,0.4074074074074074,0.5925925925925926
alexander govorunets,maksym mrykh,47,6,4.23404255319149,82.51063829787235,2025-04-29 16:50:00,0.1276595744680851,0.8723404255319149
alexander govorunets,oleh napirko,68,17,3.9558823529411766,73.0,2025-05-04 06:35:00,0.25,0.75
alexander govorunets,oleksandr ivchuk,36,14,3.9166666666666665,73.05555555555556,2025-04-15 19:50:00,0.3888888888888889,0.6111111111111112
alexander govorunets,oleksandr seliuchenko,26,7,4.230769230769231,80.11538461538461,2025-01-10 12:10:00,0.2692307692307692,0.7307692307692308
