match_id,match_date,player1,player2,match_link
01-04-2026-andrii-peretiatko-mykyta-fomin,2026-04-01 17:55:00,Andrii Peretiatko,Mykyta Fiialko,https://scores24.live/en/table-tennis/01-04-2026-andrii-peretiatko-mykyta-fomin
01-04-2026-bohdan-pyrtyk-viktor-sydorchuk,2026-04-01 17:55:00,Bohdan Pyrtyk,Viktor Sydorchuk,https://scores24.live/en/table-tennis/01-04-2026-bohdan-pyrtyk-viktor-sydorchuk
01-04-2026-martin-bartos-artur-akopyan,2026-04-01 18:00:00,Martin Bartos,Artur Akopyan,https://scores24.live/en/table-tennis/01-04-2026-martin-bartos-artur-akopyan
01-04-2026-hennadii-buianover-volodymyr-kruglyak,2026-04-01 18:05:00,Hennadii Buianover,Volodymyr Kruglyak,https://scores24.live/en/table-tennis/01-04-2026-hennadii-buianover-volodymyr-kruglyak
01-04-2026-vitaliy-zharskiy-andrii-regush-1,2026-04-01 18:05:00,Vitaliy Zharskiy,Andrii Regush,https://scores24.live/en/table-tennis/01-04-2026-vitaliy-zharskiy-andrii-regush-1
01-04-2026-oleksandr-osadchyi-serhii-hovorunets,2026-04-01 18:20:00,Oleksandr Osadchyi,Serhii Hovorunets,https://scores24.live/en/table-tennis/01-04-2026-oleksandr-osadchyi-serhii-hovorunets
01-04-2026-anton-yakovenko-eldar-bektemirov,2026-04-01 18:25:00,Anton Yakovenko,Eldar Alekperov,https://scores24.live/en/table-tennis/01-04-2026-anton-yakovenko-eldar-bektemirov
01-04-2026-oleksandr-bolnyh-mykhailo-senyk,2026-04-01 18:25:00,Oleksandr Bolnyh,Mykhailo Senyk,https://scores24.live/en/table-tennis/01-04-2026-oleksandr-bolnyh-mykhailo-senyk
01-04-2026-jakub-dufek-jnr-artur-akopyan,2026-04-01 18:30:00,Jakub Dufek Jnr,Artur Akopyan,https://scores24.live/en/table-tennis/01-04-2026-jakub-dufek-jnr-artur-akopyan
01-04-2026-gregory-kuzmenko-serhii-maksymiv-1,2026-04-01 18:35:00,Gregor Gallo,Serhii Maksymiv,https://scores24.live/en/table-tennis/01-04-2026-gregory-kuzmenko-serhii-maksymiv-1
01-04-2026-valerii-lukianevych-andrii-sydorenko-1979-,2026-04-01 18:35:00,Valerii Lukianevych,Andrii Sydorenko 1979,https://scores24.live/en/table-tennis/01-04-2026-valerii-lukianevych-andrii-sydorenko-1979-
01-04-2026-ladislav-dobias-libor-benak,2026-04-01 18:45:00,Vladislav Dotsenko,Libor Benak,https://scores24.live/en/table-tennis/01-04-2026-ladislav-dobias-libor-benak
01-04-2026-oleksandr-osadchyi-serhii-semenets,2026-04-01 18:50:00,Oleksandr Osadchyi,Serhii Semenets,https://scores24.live/en/table-tennis/01-04-2026-oleksandr-osadchyi-serhii-semenets
01-04-2026-ruslan-skoropad-yuriy-shcherbak,2026-04-01 18:55:00,Ruslan Skoropad,Yuriy Schepanskiy,https://scores24.live/en/table-tennis/01-04-2026-ruslan-skoropad-yuriy-shcherbak
