Match Date,Match,P1,P1 BB%,P1 Samples,P1 Worst Odds,P2,P2 BB%,P2 Samples,P2 Worst Odds
2026-03-30 09:10:00,Robert Sikora vs Dusan Cecotka,Robert Sikora,0.867,15,-650.0,Dusan Cecotka,,10,
2026-03-30 13:15:00,Antonin Baros vs Rostislav Niezgoda,Antonin Baros,0.75,16,-300.0,Rostislav Niezgoda,,11,
2026-03-30 15:25:00,Adam Kral vs Jan Hendrych,Adam Kral,0.75,12,-300.0,Jan Hendrych,0.333,18,200.0
2026-03-30 08:40:00,Milan Zika vs Patrik Sturma,Milan Zika,0.462,13,117.0,Patrik Sturma,0.706,17,-240.0
2026-03-30 11:10:00,Dusan Cecotka vs Patrik Sturma,Dusan Cecotka,0.688,16,-220.0,Patrik Sturma,0.5,14,100.0
2026-03-30 09:20:00,David Sabuka vs Milan Tlusty,David Sabuka,0.583,12,-140.0,Milan Tlusty,0.667,18,-200.0
2026-03-30 10:00:00,Karol Guzi vs Adam Duch,Karol Guzi,0.6,15,-150.0,Adam Duch,0.667,15,-200.0
2026-03-30 13:55:00,Radek Muller vs Adam Kral,Radek Muller,0.385,13,160.0,Adam Kral,0.647,17,-183.0
2026-03-30 10:20:00,David Sabuka vs Zdenek Zahradka,David Sabuka,0.6,15,-150.0,Zdenek Zahradka,0.6,15,-150.0
2026-03-30 13:20:00,Martin Dvorak vs Tomas Rein,Martin Dvorak,,7,,Tomas Rein,0.583,12,-140.0
2026-03-30 11:00:00,Stachera Tomasz vs Pawel Kos,Stachera Tomasz,0.583,12,-140.0,Pawel Kos,,7,
2026-03-30 11:25:00,Michal Brozek vs Petr Vanek,Michal Brozek,0.571,14,-133.0,Petr Vanek,0.5,16,100.0
2026-03-30 11:55:00,Jan Kocab vs Petr Vanek,Jan Kocab,0.571,14,-133.0,Petr Vanek,0.417,12,140.0
2026-03-30 12:00:00,Karol Guzi vs Pawel Kos,Karol Guzi,0.5,12,100.0,Pawel Kos,0.444,18,125.0
2026-03-30 16:00:00,Pawel Kos vs Adam Duch,Pawel Kos,0.375,16,167.0,Adam Duch,0.5,14,100.0
2026-03-30 16:25:00,David Sabuka vs Adam Kral,David Sabuka,,8,,Adam Kral,0.474,19,111.0
2026-03-30 10:40:00,Milan Zika vs Robert Sikora,Milan Zika,0.462,13,117.0,Robert Sikora,,3,
2026-03-30 11:50:00,Zdenek Zahradka vs Milan Tlusty,Zdenek Zahradka,,10,,Milan Tlusty,0.45,20,122.0
2026-03-30 09:30:00,Marek Chybinski vs Adam Duch,Marek Chybinski,0.444,18,125.0,Adam Duch,0.25,12,300.0
2026-03-30 08:30:00,Marcin Stepien vs Mateusz Galus,Marcin Stepien,0.4,15,150.0,Mateusz Galus,0.4,15,150.0
2026-03-30 12:25:00,Adam Kosacky vs Michal Brozek,Adam Kosacky,,10,,Michal Brozek,0.4,20,150.0
2026-03-30 08:25:00,David Vesecky vs Michal Brozek,David Vesecky,,10,,Michal Brozek,0.4,20,150.0
2026-03-30 15:00:00,Karol Guzi vs Marek Chybinski,Karol Guzi,0.353,17,183.0,Marek Chybinski,0.385,13,160.0
2026-03-30 14:00:00,Marek Chybinski vs Pawel Kos,Marek Chybinski,0.231,13,333.0,Pawel Kos,0.353,17,183.0
2026-03-30 11:30:00,Marek Chybinski vs Stachera Tomasz,Marek Chybinski,,7,,Stachera Tomasz,0.312,16,220.0
2026-03-30 15:50:00,Jean-Baptiste Cousin vs Tomas Rein,Jean-Baptiste Cousin,,9,,Tomas Rein,0.231,13,333.0
2026-03-30 09:15:00,David Sarganek vs Filip Sikora,David Sarganek,0.214,14,367.0,Filip Sikora,,6,
2026-03-30 14:50:00,Tomas Rein vs Zbynek Vyskocil,Tomas Rein,,9,,Zbynek Vyskocil,0.19,21,425.0
