date,player1,player2
2026-01-01 00:00:00,Lukasz Jarocki,Martin Olejnik
2026-02-27 23:20:00,Jakub Michalski,Roman Wiza
2026-02-27 23:30:00,Piotr Strus,Milosz Kukawka
2026-02-27 23:40:00,Damian Fira,Mariusz Baron
2026-02-28 00:05:00,Pawel Slosarczyk,Wojciech Urban
2026-02-28 00:15:00,Krzysztof Kotyl,Milosz Kukawka
2026-02-28 00:25:00,Dariusz Wrobel,Michal Minda
2026-02-28 00:30:00,Patryk Jedrzejak,Witold Buczynski
2026-02-28 00:35:00,Wojciech Pytlas,Pawel Kurek
2026-02-28 00:40:00,Dawid Poloszczanski,Tadeusz Piotrowski
2026-02-28 00:50:00,Jakub Wozniak,Mateusz Trela
2026-02-28 01:05:00,Piotr Strus,Jacek Przewlocki
2026-02-28 01:10:00,Jakub Glanowski,Frantisek Krcil
2026-02-28 01:15:00,Sebastian Baran,Damian Wasilewski
2026-02-28 01:15:00,Grzegorz Poliniewicz,Adrian Spychala
2026-02-28 01:20:00,Sebastian Szostok,Lukasz Oracz
2026-02-28 01:25:00,Rafal Idaczyk,Michal Paszkiewicz
2026-02-28 01:30:00,Krzysztof Kotyl,Tadeusz Piotrowski
2026-02-28 01:35:00,Milosz Piecowski,Bartlomiej Mleczko
2026-02-28 01:40:00,Artur Gromek,Lukasz Jarocki
2026-02-28 01:40:00,Dariusz Wrobel,Mateusz Trela
2026-02-28 01:45:00,Wojciech Pytlas,Dawid Jedrysik
2026-02-28 01:45:00,Patryk Jedrzejak,Daniel Morawiec
2026-02-28 01:55:00,Dawid Poloszczanski,Piotr Strus
2026-02-28 02:05:00,Jakub Wozniak,Sebastian Baran
2026-02-28 02:10:00,Lukasz Oracz,Witold Buczynski
2026-02-28 02:10:00,Artur Szoltysek,Jakub Glanowski
2026-02-28 02:10:00,Wojciech Wojtaszczyk,Rafal Idaczyk
2026-02-28 02:15:00,Karol Wisniewski,Martin Olejnik
2026-02-28 02:20:00,Jacek Przewlocki,Milosz Kukawka
2026-02-28 02:30:00,Damian Wasilewski,Michal Minda
2026-02-28 02:35:00,Michal Paszkiewicz,Pawel Kurek
2026-02-28 02:35:00,Frantisek Krcil,Arkadiusz Mugowski
2026-02-28 02:40:00,Grzegorz Poliniewicz,Lukasz Jarocki
2026-02-28 02:45:00,Krzysztof Kotyl,Piotr Strus
2026-02-28 02:50:00,Dariusz Wrobel,Sebastian Baran
2026-02-28 02:55:00,Daniel Morawiec,Witold Buczynski
2026-02-28 02:55:00,Milosz Piecowski,Jakub Glanowski
2026-02-28 03:00:00,Artur Gromek,Karol Wisniewski
2026-02-28 03:00:00,Wojciech Pytlas,Rafal Idaczyk
2026-02-28 03:15:00,Mateusz Trela,Michal Minda
2026-02-28 03:20:00,Dawid Jedrysik,Pawel Kurek
2026-02-28 03:20:00,Patryk Jedrzejak,Sebastian Szostok
2026-02-28 03:20:00,Bartlomiej Mleczko,Arkadiusz Mugowski
2026-02-28 03:25:00,Martin Olejnik,Adrian Spychala
2026-02-28 03:45:00,Artur Szoltysek,Frantisek Krcil
2026-02-28 03:50:00,Grzegorz Poliniewicz,Karol Wisniewski
2026-02-28 04:00:00,Gracjan Kesik,Milosz Piecowski
2026-02-28 04:00:00,Tadeusz Piotrowski,Bartlomiej Wisniewski
2026-02-28 04:05:00,Bartlomiej Mleczko,Mikolaj Olejnik
2026-02-28 04:10:00,Lukasz Jarocki,Adrian Spychala
2026-02-28 04:20:00,Jakub Wozniak,Jakub Glanowski
2026-02-28 04:25:00,Dawid Poloszczanski,Rafal Stapor
2026-02-28 04:30:00,Artur Szoltysek,Bartosz Kwodawski
2026-02-28 04:35:00,Artur Gromek,Martin Olejnik
2026-02-28 04:45:00,Arkadiusz Mugowski,Damian Wasilewski
2026-02-28 04:55:00,Alan Wos,Frantisek Krcil
2026-02-28 05:00:00,Adrian Spychala,Karol Wisniewski
2026-02-28 05:20:00,Bartlomiej Mleczko,Artur Szoltysek
2026-02-28 05:25:00,Artur Gromek,Martin Olejnik
