ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,winner_canonical,loser_canonical,winner_id,loser_id
1,Brisbane,Brisbane International,12/29/2024,ATP250,Outdoor,Hard,1st Round,3,Vukic A.,Goffin D.,68,52.0,778,1037.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2,1.8,2.08,1.83,2.14,1.83,2.03,1.78,,,vukic a.,goffin d.,atp_84,atp_179
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,O Connell C.,41,64.0,1245,795.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.44,2.75,1.48,2.85,1.48,2.9,1.43,2.74,,,michelsen a.,oconnell c.,atp_35,atp_128
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Bonzi B.,Tabilo A.,75,23.0,730,1943.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.67,2.2,1.73,2.22,1.73,2.25,1.67,2.18,,,bonzi b.,tabilo a.,atp_103,atp_39
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Rinderknech A.,69,59.0,776,927.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.64,2.39,1.65,2.5,1.59,2.36,,,nishioka y.,rinderknech a.,atp_173,atp_27
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Berrettini M.,26,34.0,1745,1380.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.63,1.5,2.47,1.6,2.63,1.6,2.48,1.54,,,thompson j.,berrettini m.,atp_131,atp_91
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Navone M.,35,47.0,1370,1148.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.4,3.16,1.4,3.3,1.36,3.13,,,jarry n.,navone m.,atp_154,atp_60
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Hanfmann Y.,10,96.0,3350,627.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.15,6.43,1.17,6.43,1.14,5.58,,,dimitrov g.,hanfmann y.,atp_93,atp_61
1,Brisbane,Brisbane International,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Rune H.,28,13.0,1660,3025.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.55,1.57,2.55,1.57,2.44,1.54,,,lehecka j.,rune h.,atp_14,atp_29
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Gomez F.,293,137.0,176,442.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.54,2.62,1.54,2.75,1.5,2.57,,,opelka r.,gomez f.,atp_64,
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Popyrin A.,37,24.0,1345,1865.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.46,1.61,2.51,1.61,2.41,1.56,,,arnaldi m.,popyrin a.,atp_107,atp_45
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Walton A.,18,93.0,2585,636.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.33,1.29,3.93,1.29,4.33,1.24,3.93,,,tiafoe f.,walton a.,atp_18,atp_105
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Mensik J.,Kukushkin M.,48,113.0,1136,542.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.29,3.75,1.31,3.77,1.33,3.77,1.29,3.54,,,mensik j.,kukushkin m.,atp_26,atp_279
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Cazaux A.,81,63.0,710,807.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,1.27,3.7,1.27,3.7,,,lajovic d.,cazaux a.,atp_132,atp_68
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Kyrgios N.,31,,1561,,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.91,1.91,1.96,1.93,2.0,1.97,1.89,1.89,,,mpetshi perricard g.,kyrgios n.,atp_57,
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Basavareddy N.,55,138.0,1005,440.0,6.0,4.0,4.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.62,2.3,1.72,2.23,1.74,2.3,1.67,2.16,,,monfils g.,basavareddy n.,atp_203,atp_193
1,Brisbane,Brisbane International,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Hijikata R.,7,73.0,3910,746.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.04,13.0,1.05,13.89,1.06,13.89,1.04,10.93,,,djokovic n.,hijikata r.,atp_4,atp_102
1,Brisbane,Brisbane International,1/1/2025,ATP250,Outdoor,Hard,2nd Round,3,Lehecka J.,Nishioka Y.,28,69.0,1660,776.0,6.0,2.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.2,1.44,3.01,1.44,3.2,1.4,2.92,,,lehecka j.,nishioka y.,atp_14,atp_173
1,Brisbane,Brisbane International,1/1/2025,ATP250,Outdoor,Hard,2nd Round,3,Jarry N.,Bonzi B.,35,75.0,1370,730.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.61,1.56,2.63,1.57,2.52,1.52,,,jarry n.,bonzi b.,atp_154,atp_103
1,Brisbane,Brisbane International,1/1/2025,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Vukic A.,10,68.0,3350,778.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.21,5.06,1.22,5.06,1.2,4.42,,,dimitrov g.,vukic a.,atp_93,atp_84
1,Brisbane,Brisbane International,1/1/2025,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Michelsen A.,26,41.0,1745,1245.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.8,2.13,1.8,2.33,1.68,2.16,,,thompson j.,michelsen a.,atp_131,atp_35
1,Brisbane,Brisbane International,1/2/2025,ATP250,Outdoor,Hard,2nd Round,3,Mensik J.,Lajovic D.,48,81.0,1136,710.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.28,4.15,1.28,4.15,1.25,3.87,,,mensik j.,lajovic d.,atp_26,atp_132
1,Brisbane,Brisbane International,1/2/2025,ATP250,Outdoor,Hard,2nd Round,3,Opelka R.,Arnaldi M.,293,37.0,176,1345.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.55,1.58,2.67,1.62,2.46,1.54,,,opelka r.,arnaldi m.,atp_64,atp_107
1,Brisbane,Brisbane International,1/2/2025,ATP250,Outdoor,Hard,2nd Round,3,Mpetshi G.,Tiafoe F.,31,18.0,1561,2585.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2,1.8,2.2,1.76,2.2,1.8,2.11,1.72,,,mpetshi perricard g.,tiafoe f.,atp_57,atp_18
1,Brisbane,Brisbane International,1/2/2025,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Monfils G.,7,55.0,3910,1005.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.06,10.0,1.09,9.51,1.09,10.0,1.07,8.22,,,djokovic n.,monfils g.,atp_4,atp_203
1,Brisbane,Brisbane International,1/3/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Lehecka J.,Jarry N.,28,35.0,1660,1370.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.44,3.03,1.44,3.2,1.39,3.0,,,lehecka j.,jarry n.,atp_14,atp_154
1,Brisbane,Brisbane International,1/3/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Thompson J.,10,26.0,3350,1745.0,6.0,1.0,2.0,1.0,,,,,,,1.0,0.0,Retired,1.3,3.5,1.36,3.49,1.36,3.53,1.33,3.3,,,dimitrov g.,thompson j.,atp_93,atp_131
1,Brisbane,Brisbane International,1/3/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Mpetshi G.,Mensik J.,31,48.0,1561,1136.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.88,2.03,1.88,2.18,1.78,2.02,,,mpetshi perricard g.,mensik j.,atp_57,atp_26
1,Brisbane,Brisbane International,1/3/2025,ATP250,Outdoor,Hard,Quarterfinals,3,Opelka R.,Djokovic N.,293,7.0,176,3910.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,11,1.05,12.64,1.06,12.64,1.06,9.96,1.05,,,opelka r.,djokovic n.,atp_64,atp_4
1,Brisbane,Brisbane International,1/4/2025,ATP250,Outdoor,Hard,Semifinals,3,Lehecka J.,Dimitrov G.,28,10.0,1660,3350.0,6.0,4.0,4.0,4.0,,,,,,,1.0,0.0,Retired,2.63,1.5,2.62,1.56,2.63,1.57,2.52,1.52,,,lehecka j.,dimitrov g.,atp_14,atp_93
1,Brisbane,Brisbane International,1/4/2025,ATP250,Outdoor,Hard,Semifinals,3,Opelka R.,Mpetshi G.,293,31.0,176,1561.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.3,1.69,2.4,1.7,2.21,1.65,,,opelka r.,mpetshi perricard g.,atp_64,atp_57
1,Brisbane,Brisbane International,1/5/2025,ATP250,Outdoor,Hard,The Final,3,Lehecka J.,Opelka R.,28,293.0,1660,176.0,4.0,1.0,,,,,,,,,0.0,0.0,Retired,1.67,2.2,1.72,2.25,1.8,2.25,1.69,2.16,,,lehecka j.,opelka r.,atp_14,atp_64
2,Hong Kong,Hong Kong Tennis Open,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Darderi L.,54,44.0,1021,1198.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.37,3.36,1.37,3.53,1.32,3.27,,,kecmanovic m.,darderi l.,atp_58,atp_19
2,Hong Kong,Hong Kong Tennis Open,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Marozsan F.,Safiullin R.,58,60.0,935,923.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.44,1.61,2.63,1.61,2.54,1.53,,,marozsan f.,safiullin r.,atp_47,atp_229
2,Hong Kong,Hong Kong Tennis Open,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Nakashima B.,53,38.0,1026,1335.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.6,1.55,2.6,1.59,2.43,1.54,,,sonego l.,nakashima b.,atp_63,atp_33
2,Hong Kong,Hong Kong Tennis Open,12/30/2024,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Tien L.,49,122.0,1119,493.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.67,2.2,1.68,2.31,1.74,2.32,1.63,2.22,,,norrie c.,tien l.,atp_24,atp_22
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Bergs Z.,Moro Canas A.,71,169.0,768,345.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.48,2.82,1.51,2.82,1.46,2.66,,,bergs z.,moro canas a.,atp_46,atp_234
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Huesler M.A.,67,159.0,778,376.0,2.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,2.2,1.67,2.43,1.62,2.43,1.68,2.25,1.62,,,muller a.,huesler m.,atp_94,
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Bu Y.,36,65.0,1355,784.0,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,2,1.8,2.2,1.74,2.2,1.82,2.07,1.73,,,borges n.,bu y.,atp_48,
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Davidovich Fokina A.,62,61.0,832,845.0,4.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,3.2,1.36,3.47,1.35,3.47,1.4,3.12,1.35,,,munar j.,davidovich fokina a.,atp_37,atp_17
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Martinez P.,Passaro F.,43,108.0,1205,570.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.92,1.97,1.95,2.02,1.83,1.95,,,martinez p.,passaro f.,atp_113,atp_146
2,Hong Kong,Hong Kong Tennis Open,12/31/2024,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Shapovalov D.,106,56.0,578,981.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.37,1.65,2.51,1.65,2.39,1.56,,,nishikori k.,shapovalov d.,atp_417,atp_38
