player_id,opponent,game_date,games_won,games_lost,game_diff,total_games,aces,double_faults,match_win,tourney_name,tourney_level,surface,round
atp_88,atp_118,2024-12-29,12,5,7,17,,,1,Brisbane International,,Hard,1st Round
atp_118,atp_88,2024-12-29,5,12,-7,17,,,0,Brisbane International,,Hard,1st Round
atp_41,atp_95,2024-12-30,17,16,1,33,,,1,Brisbane International,,Hard,1st Round
atp_95,atp_41,2024-12-30,16,17,-1,33,,,0,Brisbane International,,Hard,1st Round
atp_123,atp_67,2024-12-30,19,17,2,36,,,1,Brisbane International,,Hard,1st Round
atp_67,atp_123,2024-12-30,17,19,-2,36,,,0,Brisbane International,,Hard,1st Round
atp_166,atp_30,2024-12-30,12,7,5,19,,,1,Brisbane International,,Hard,1st Round
atp_30,atp_166,2024-12-30,7,12,-5,19,,,0,Brisbane International,,Hard,1st Round
atp_111,atp_57,2024-12-30,15,13,2,28,,,1,Brisbane International,,Hard,1st Round
atp_57,atp_111,2024-12-30,13,15,-2,28,,,0,Brisbane International,,Hard,1st Round
atp_143,atp_74,2024-12-30,14,11,3,25,,,1,Brisbane International,,Hard,1st Round
atp_74,atp_143,2024-12-30,11,14,-3,25,,,0,Brisbane International,,Hard,1st Round
atp_42,atp_90,2024-12-30,13,9,4,22,,,1,Brisbane International,,Hard,1st Round
atp_90,atp_42,2024-12-30,9,13,-4,22,,,0,Brisbane International,,Hard,1st Round
atp_21,atp_18,2024-12-30,13,8,5,21,,,1,Brisbane International,,Hard,1st Round
atp_18,atp_21,2024-12-30,8,13,-5,21,,,0,Brisbane International,,Hard,1st Round
atp_69,atp_188,2024-12-31,13,9,4,22,,,1,Brisbane International,,Hard,1st Round
atp_188,atp_69,2024-12-31,9,13,-4,22,,,0,Brisbane International,,Hard,1st Round
atp_85,atp_51,2024-12-31,12,5,7,17,,,1,Brisbane International,,Hard,1st Round
atp_51,atp_85,2024-12-31,5,12,-7,17,,,0,Brisbane International,,Hard,1st Round
atp_28,atp_93,2024-12-31,13,9,4,22,,,1,Brisbane International,,Hard,1st Round
atp_93,atp_28,2024-12-31,9,13,-4,22,,,0,Brisbane International,,Hard,1st Round
atp_16,atp_262,2024-12-31,13,10,3,23,,,1,Brisbane International,,Hard,1st Round
atp_262,atp_16,2024-12-31,10,13,-3,23,,,0,Brisbane International,,Hard,1st Round
atp_129,atp_73,2024-12-31,12,8,4,20,,,1,Brisbane International,,Hard,1st Round
atp_73,atp_129,2024-12-31,8,12,-4,20,,,0,Brisbane International,,Hard,1st Round
atp_58,atp_9001,2024-12-31,20,19,1,39,,,1,Brisbane International,,Hard,1st Round
atp_9001,atp_58,2024-12-31,19,20,-1,39,,,0,Brisbane International,,Hard,1st Round
atp_168,atp_190,2024-12-31,16,11,5,27,,,1,Brisbane International,,Hard,1st Round
atp_190,atp_168,2024-12-31,11,16,-5,27,,,0,Brisbane International,,Hard,1st Round
atp_3,atp_112,2024-12-31,12,6,6,18,,,1,Brisbane International,,Hard,1st Round
atp_112,atp_3,2024-12-31,6,12,-6,18,,,0,Brisbane International,,Hard,1st Round
atp_21,atp_166,2025-01-01,18,13,5,31,,,1,Brisbane International,,Hard,2nd Round
atp_166,atp_21,2025-01-01,13,18,-5,31,,,0,Brisbane International,,Hard,2nd Round
atp_143,atp_123,2025-01-01,12,5,7,17,,,1,Brisbane International,,Hard,2nd Round
atp_123,atp_143,2025-01-01,5,12,-7,17,,,0,Brisbane International,,Hard,2nd Round
atp_42,atp_88,2025-01-01,13,8,5,21,,,1,Brisbane International,,Hard,2nd Round
atp_88,atp_42,2025-01-01,8,13,-5,21,,,0,Brisbane International,,Hard,2nd Round
atp_111,atp_41,2025-01-01,13,8,5,21,,,1,Brisbane International,,Hard,2nd Round
atp_41,atp_111,2025-01-01,8,13,-5,21,,,0,Brisbane International,,Hard,2nd Round
atp_16,atp_129,2025-01-02,12,5,7,17,,,1,Brisbane International,,Hard,2nd Round
atp_129,atp_16,2025-01-02,5,12,-7,17,,,0,Brisbane International,,Hard,2nd Round
atp_69,atp_85,2025-01-02,14,12,2,26,,,1,Brisbane International,,Hard,2nd Round
