schedule_name,key,player_id,matched_by
Zeynep Sonmez,sonmez,,alias_no_match
Zeynep Sonmez,zeynepsonmez,,alias_no_match
Zeynep Sonmez,sonmezz,wta_84,alias
McCartney Kessler,kesslerm,wta_31,alias
Talia Gibson,gibsont,wta_111,alias
Ann Li,lia,wta_36,alias
Jessica Bouzas Maneiro,jessicabouzasmaneiro,,alias_no_match
Jessica Bouzas Maneiro,jmaneiro,,alias_no_match
Jessica Bouzas Maneiro,maneiroj,wta_48,alias
Beatriz Haddad Maia,maia,,alias_no_match
Beatriz Haddad Maia,maiab,wta_66,alias
Ella Seidel,seidele,wta_95,alias
Anastasia Zakharova,anastasiazakharova,,alias_no_match
Anastasia Zakharova,zakharovaa,wta_103,alias
Himeno Sakatsume,hsakatsume,,alias_no_match
Himeno Sakatsume,sakatsumeh,wta_135,alias
Alycia Parks,parks,wta_243,alias
Victoria Jimenez Kasintseva,victoriajimenezkasintseva,,alias_no_match
Victoria Jimenez Kasintseva,jimenezkasintseva,,alias_no_match
Victoria Jimenez Kasintseva,jimenezkasintsevav,wta_119,alias
Catherine McNally,cmcnally,,alias_no_match
Catherine McNally,mcnally,,alias_no_match
Catherine McNally,mcnallyc,wta_68,alias
Jaqueline Cristian,jcristian,,alias_no_match
Jaqueline Cristian,jaquelinecristian,,alias_no_match
Jaqueline Cristian,cristian,,alias_no_match
Jaqueline Cristian,cristianj,wta_38,alias
Janice Tjen,tjenj,wta_47,alias
Dalma Galfi,galfid,wta_86,alias
Anna Blinkova,blinkovaa,wta_82,alias
Dayana Yastremska,dyastremska,,alias_no_match
Dayana Yastremska,yastremska,,alias_no_match
Dayana Yastremska,yastremskad,wta_43,alias
Zhang Shuai,shuai,wta_85,alias
Bianca Andreescu,bandreescu,,alias_no_match
Bianca Andreescu,andreescu,,alias_no_match
Bianca Andreescu,andreescub,wta_161,alias
Kamilla Rakhimova,kamillarakhimova,,alias_no_match
Kamilla Rakhimova,rakhimova,,alias_no_match
Kamilla Rakhimova,rakhimovak,wta_91,alias
Sloane Stephens,stephens,,alias_no_match
Sloane Stephens,sstephens,,alias_no_match
Sloane Stephens,sloanestephens,,alias_no_match
Sloane Stephens,stephenss,wta_775,alias
Camila Osorio,osorio,,alias_no_match
Camila Osorio,cosorio,,alias_no_match
Camila Osorio,camilaosorio,,alias_no_match
Camila Osorio,osorioc,,alias_no_match
Camila Osorio,osorio,wta_63,player_lookup
Ajla Tomljanovic,atomljanovic,,alias_no_match
Ajla Tomljanovic,tomljanovic,,alias_no_match
Ajla Tomljanovic,tomljanovica,wta_73,alias
Elena-Gabriela Ruse,gabrielarusee,,alias_no_match
Elena-Gabriela Ruse,rusee,,alias_no_match
Elena-Gabriela Ruse,eruse,,alias_no_match
Elena-Gabriela Ruse,egruse,,alias_no_match
Elena-Gabriela Ruse,ruse,,alias_no_match
Elena-Gabriela Ruse,gabrielaruse,,alias_no_match
Elena-Gabriela Ruse,elenagabrielaruse,,alias_no_match
Elena-Gabriela Ruse,gabrielarusee,wta_79,player_lookup
Anastasia Potapova,anastasiapotapova,,alias_no_match
Anastasia Potapova,apotapova,,alias_no_match
Anastasia Potapova,potapovaa,wta_75,alias
Marina Stakusic,stakusic,,alias_no_match
Marina Stakusic,marinastakusic,,alias_no_match
Marina Stakusic,mstakusic,,alias_no_match
Marina Stakusic,stakusicm,wta_137,alias
Kimberly Birrell,birrell,,alias_no_match
Kimberly Birrell,kbirrell,,alias_no_match
Kimberly Birrell,birrellk,wta_94,alias
Oksana Selekhmeteva,selekhmeteva,,alias_no_match
Oksana Selekhmeteva,selekhmetevao,wta_74,alias
Yulia Putintseva,putintsevay,wta_77,alias
Paula Badosa,badosa,,alias_no_match
Paula Badosa,badosap,wta_70,alias
Sorana Cirstea,soranacirstea,,alias_no_match
Sorana Cirstea,scirstea,,alias_no_match
Sorana Cirstea,cirsteas,wta_30,alias
Tatjana Maria,mariat,wta_54,alias
Reilly Opelka,ropelka,,alias_no_match
Reilly Opelka,reillyopelka,,alias_no_match
Reilly Opelka,opelkar,atp_69,alias
Ethan Quinn,equinn,,alias_no_match
Ethan Quinn,quinne,atp_70,alias
Mattia Bellucci,bellucci,,alias_no_match
Mattia Bellucci,mattiabellucci,,alias_no_match
Mattia Bellucci,belluccim,atp_109,alias
Gabriel Diallo,gabrieldiallo,,alias_no_match
Gabriel Diallo,diallog,atp_39,alias
Dalibor Svrcina,dsvrcina,,alias_no_match
Dalibor Svrcina,svrcina,,alias_no_match
Dalibor Svrcina,daliborsvrcina,,alias_no_match
Dalibor Svrcina,svrcinad,atp_99,alias
James Duckworth,duckworthj,atp_80,alias
Marton Fucsovics,fucsovicsm,atp_60,alias
Christopher O'Connell,oconnellc,atp_95,alias
Matteo Berrettini,matteoberrettini,,alias_no_match
Matteo Berrettini,berrettini,,alias_no_match
Matteo Berrettini,mberrettini,,alias_no_match
Matteo Berrettini,berrettinim,atp_57,alias
Adrian Mannarino,mannarinoa,atp_48,alias
Jenson Brooksby,brooksbyj,atp_46,alias
Alexei Popyrin,popyrina,atp_51,alias
Dino Prizmic,prizmic,atp_121,alias
Tristan Schoolkate,tristanschoolkate,,alias_no_match
Tristan Schoolkate,tschoolkate,,alias_no_match
Tristan Schoolkate,schoolkate,,alias_no_match
Tristan Schoolkate,schoolkatet,atp_108,alias
Gael Monfils,gaelmonfils,,alias_no_match
Gael Monfils,gmonfils,,alias_no_match
Gael Monfils,monfilsg,atp_168,alias
Alexis Galarneau,galarneaua,atp_242,alias
Joao Fonseca,joaofonseca,,alias_no_match
Joao Fonseca,fonsecaj,atp_37,alias
Raphael Collignon,rcollignon,,alias_no_match
Raphael Collignon,raphaelcollignon,,alias_no_match
Raphael Collignon,collignonr,atp_68,alias
Zachary Svajda,svajda,,alias_no_match
Zachary Svajda,svajdaz,atp_106,alias
Marin Cilic,cilic,,alias_no_match
Marin Cilic,marincilic,,alias_no_match
Marin Cilic,mcilic,,alias_no_match
Marin Cilic,cilicm,atp_52,alias
Stefanos Tsitsipas,tsitsipass,atp_32,alias
Denis Shapovalov,shapovalovd,atp_36,alias
Zizou Bergs,zbergs,,alias_no_match
Zizou Bergs,bergsz,atp_43,alias
Jan-Lennard Struff,struffj,atp_77,alias
Daniel Altmaier,danielaltmaier,,alias_no_match
Daniel Altmaier,daltmaier,,alias_no_match
Daniel Altmaier,altmaierd,atp_54,alias
Miomir Kecmanovic,kecmanovicm,atp_83,alias
Camilo Ugo Carabelli,ugocarabelli,,alias_no_match
Camilo Ugo Carabelli,carabellic,atp_45,alias
Martin Damm,dammm,atp_125,alias
Quentin Halys,halys,,alias_no_match
Quentin Halys,halysq,atp_72,alias
Adam Walton,walton,,alias_no_match
Adam Walton,adamwalton,,alias_no_match
Adam Walton,waltona,atp_93,alias
Mariano Navone,marianonavone,,alias_no_match
Mariano Navone,navone,,alias_no_match
Mariano Navone,mnavone,,alias_no_match
Mariano Navone,navonem,atp_74,alias
Marcos Giron,marcosgiron,,alias_no_match
Marcos Giron,gironm,atp_63,alias
Moyuka Uchijima,uchijimam,wta_90,alias
Lucia Bronzetti,bronzetti,,alias_no_match
Lucia Bronzetti,lbronzetti,,alias_no_match
Lucia Bronzetti,bronzettil,wta_138,alias
Katarzyna Kawa,kawa,,alias_no_match
Katarzyna Kawa,katarzynakawa,,alias_no_match
Katarzyna Kawa,kawak,wta_143,alias
Ipek Oz,oz,,alias_no_match
Ipek Oz,ipekoz,,alias_no_match
Ipek Oz,ioz,,alias_no_match
Ipek Oz,ozi,,alias_no_match
Ipek Oz,oz,,player_lookup_no_match
Ipek Oz,ipekoz,,player_lookup_no_match
Ipek Oz,ioz,,player_lookup_no_match
Ipek Oz,ozi,,player_lookup_no_match
Ipek Oz,oz,wta_523,ranking
Elina Avanesyan,avanesyane,wta_178,alias
Anhelina Kalinina,anhelinakalinina,,alias_no_match
Anhelina Kalinina,akalinina,,alias_no_match
Anhelina Kalinina,kalininaa,wta_191,alias
Oleksandra Oliynykova,oleksandraoliynykova,,alias_no_match
Oleksandra Oliynykova,ooliynykova,,alias_no_match
Oleksandra Oliynykova,oliynykovao,wta_71,alias
Iryna Shymanovich,shymanovich,,alias_no_match
Iryna Shymanovich,irynashymanovich,,alias_no_match
Iryna Shymanovich,ishymanovich,,alias_no_match
Iryna Shymanovich,shymanovichi,wta_156,alias
Dominika Salkova,dsalkova,wta_151,alias
Elina Avanesyan,avanesyane,wta_178,alias
Alina Charaeva,charaevaa,wta_163,alias
Polina Kudermetova,kudermetova,,alias_no_match
Polina Kudermetova,kudermetovap,wta_144,alias
Ipek Oz,oz,,alias_no_match
Ipek Oz,ipekoz,,alias_no_match
Ipek Oz,ioz,,alias_no_match
Ipek Oz,ozi,,alias_no_match
Ipek Oz,oz,,player_lookup_no_match
Ipek Oz,ipekoz,,player_lookup_no_match
Ipek Oz,ioz,,player_lookup_no_match
Ipek Oz,ozi,,player_lookup_no_match
Ipek Oz,oz,wta_523,ranking
Katarina Zavatska,zavatskak,,alias_no_match
Katarina Zavatska,kzavatska,,alias_no_match
Katarina Zavatska,zavatska,,alias_no_match
Katarina Zavatska,katarinazavatska,,alias_no_match
Katarina Zavatska,zavatskak,wta_310,player_lookup
Berfu Cengiz,berfucengiz,,alias_no_match
Berfu Cengiz,cengizb,wta_480,alias
Lucia Bronzetti,bronzetti,,alias_no_match
Lucia Bronzetti,lbronzetti,,alias_no_match
Lucia Bronzetti,bronzettil,wta_138,alias
Lanlana Tararudee,tararudeel,wta_124,alias
Sonay Kartal,kartals,wta_51,alias
Marie Bouzkova,bouzkovam,wta_39,alias
Taylor Townsend,townsend,,alias_no_match
Taylor Townsend,taylortownsend,,alias_no_match
Taylor Townsend,ttownsend,,alias_no_match
Taylor Townsend,townsendt,wta_116,alias
Magda Linette,mlinette,,alias_no_match
Magda Linette,linettem,wta_50,alias
Ashlyn Krueger,krueger,,alias_no_match
Ashlyn Krueger,akrueger,,alias_no_match
Ashlyn Krueger,ashlynkrueger,,alias_no_match
Ashlyn Krueger,kruegera,wta_100,alias
Laura Siegemund,siegemundl,wta_52,alias
Petra Marcinko,petramarcinko,,alias_no_match
Petra Marcinko,pmarcinko,,alias_no_match
Petra Marcinko,marcinkop,wta_69,alias
Elsa Jacquemot,jacquemot,,alias_no_match
Elsa Jacquemot,elsajacquemot,,alias_no_match
Elsa Jacquemot,jacquemote,wta_57,alias
Anna Bondar,abondar,wta_65,alias
Francesca Jones,fjones,,alias_no_match
Francesca Jones,jonesf,wta_72,alias
Kayla Day,kday,,alias_no_match
Kayla Day,day,,alias_no_match
Kayla Day,kayladay,,alias_no_match
Kayla Day,dayk,,alias_no_match
Kayla Day,kday,wta_194,player_lookup
Donna Vekic,donnavekic,,alias_no_match
Donna Vekic,vekic,,alias_no_match
Donna Vekic,vekicd,wta_99,alias
Tereza Valentova,valentovat,wta_42,alias
Diane Parry,dianeparry,,alias_no_match
Diane Parry,parry,,alias_no_match
Diane Parry,dparry,,alias_no_match
Diane Parry,parryd,wta_107,alias
Venus Williams,venuswilliams,,alias_no_match
Venus Williams,williams,,alias_no_match
Venus Williams,williamsv,wta_555,alias
Cristina Bucsa,cristinabucsa,,alias_no_match
Cristina Bucsa,bucsa,,alias_no_match
Cristina Bucsa,bucsac,wta_62,alias
Darja Vidmanova,dvidmanova,,alias_no_match
Darja Vidmanova,vidmanovad,wta_127,alias
Storm Hunter,stormhunter,,alias_no_match
Storm Hunter,shunter,,alias_no_match
Storm Hunter,hunters,wta_231,alias
Magdalena Frech,frech,,alias_no_match
Magdalena Frech,mfrech,,alias_no_match
Magdalena Frech,frechm,wta_55,alias
Varvara Gracheva,varvaragracheva,,alias_no_match
Varvara Gracheva,vgracheva,,alias_no_match
Varvara Gracheva,grachevav,wta_60,alias
Lilli Tagger,tagger,,alias_no_match
Lilli Tagger,ltagger,,alias_no_match
Lilli Tagger,lillitagger,,alias_no_match
Lilli Tagger,taggerl,wta_114,alias
Katerina Siniakova,ksiniakova,,alias_no_match
Katerina Siniakova,katerinasiniakova,,alias_no_match
Katerina Siniakova,siniakova,,alias_no_match
Katerina Siniakova,siniakovak,wta_46,alias
Sofia Kenin,kenins,wta_32,alias
Katie Volynets,katievolynets,,alias_no_match
Katie Volynets,volynets,,alias_no_match
Katie Volynets,volynetsk,wta_96,alias
Rebecca Sramkova,sramkova,,alias_no_match
Rebecca Sramkova,sramkovar,wta_102,alias
Emiliana Arango,emilianaarango,,alias_no_match
Emiliana Arango,earango,,alias_no_match
Emiliana Arango,arango,,alias_no_match
