scoreboard_name,player_id,canonical_name
Vukic A.,atp_88,vukic a
Goffin D.,atp_118,goffin d
Michelsen A.,atp_41,michelsen a
Bonzi B.,atp_123,bonzi b
Tabilo A.,atp_67,tabilo a
Nishioka Y.,atp_166,nishioka y
Rinderknech A.,atp_30,rinderknech a
Thompson J.,atp_111,thompson j
Berrettini M.,atp_57,berrettini m
Jarry N.,atp_143,jarry n
Navone M.,atp_74,navone m
Dimitrov G.,atp_42,dimitrov g
Hanfmann Y.,atp_90,hanfmann y
Lehecka J.,atp_21,lehecka j
Rune H.,atp_18,rune h
Opelka R.,atp_69,opelka r
Arnaldi M.,atp_85,arnaldi m
Popyrin A.,atp_51,popyrin a
Tiafoe F.,atp_28,tiafoe f
Walton A.,atp_93,walton a
Mensik J.,atp_16,mensik j
Kukushkin M.,atp_262,kukushkin m
Lajovic D.,atp_129,lajovic d
Cazaux A.,atp_73,cazaux a
Monfils G.,atp_168,monfils g
Basavareddy N.,atp_190,basavareddy n
Djokovic N.,atp_3,djokovic n
Hijikata R.,atp_112,hijikata r
Kecmanovic M.,atp_83,kecmanovic m
Darderi L.,atp_22,darderi l
Marozsan F.,atp_47,marozsan f
Safiullin R.,atp_185,safiullin r
Sonego L.,atp_64,sonego l
Nakashima B.,atp_29,nakashima b
Norrie C.,atp_27,norrie c
Tien L.,atp_23,tien l
Bergs Z.,atp_43,bergs z
Moro Canas A.,atp_271,moro canas a
Muller A.,atp_50,muller a
Borges N.,atp_44,borges n
Bu Y.,atp_147,bu y
Munar J.,atp_35,munar j
Davidovich Fokina A.,atp_15,davidovich fokina a
Martinez P.,atp_101,martinez p
Passaro F.,atp_161,passaro f
Nishikori K.,atp_283,nishikori k
Shapovalov D.,atp_36,shapovalov d
Diallo G.,atp_39,diallo g
Carballes Baena R.,atp_174,carballes baena r
Shang J.,atp_259,shang j
Wong C.,atp_137,wong c
Fils A.,atp_40,fils a
Khachanov K.,atp_17,khachanov k
Musetti L.,atp_5,musetti l
Rublev A.,atp_14,rublev a
Zhang Zh.,atp_449,zhang z
Bautista Agut R.,atp_82,bautista agut r
Tu L.,atp_371,tu l
Duckworth J.,atp_80,duckworth j
Giron M.,atp_63,giron m
Bublik A.,atp_10,bublik a
Schoolkate T.,atp_108,schoolkate t
Auger-Aliassime F.,atp_6,auger aliassime f
Korda S.,atp_49,korda s
Paul T.,atp_24,paul t
Altmaier D.,atp_54,altmaier d
Nagal S.,atp_297,nagal s
Mannarino A.,atp_48,mannarino a
Nardi L.,atp_94,nardi l
Cobolli F.,atp_20,cobolli f
Diaz Acosta F.,atp_284,diaz acosta f
Comesana F.,atp_62,comesana f
Carreno Busta P.,atp_122,carreno busta p
Baez S.,atp_33,baez s
Cerundolo F.,atp_19,cerundolo f
Shelton B.,atp_9,shelton b
Gaston H.,atp_96,gaston h
Jasika O.,atp_376,jasika o
Virtanen O.,atp_128,virtanen o
Monteiro T.,atp_208,monteiro t
Ruud C.,atp_13,ruud c
Habib H.,atp_333,habib h
Machac T.,atp_31,machac t
Humbert U.,atp_38,humbert u
Gigante M.,atp_165,gigante m
Onclin G.,atp_312,onclin g
Halys Q.,atp_72,halys q
Zverev A.,atp_4,zverev a
Basilashvili N.,atp_136,basilashvili n
Tsitsipas S.,atp_32,tsitsipas s
Seyboth Wild T.,atp_219,seyboth wild t
Stricker D.,atp_372,stricker d
Mccabe J.,atp_210,mccabe j
Landaluce M.,atp_158,landaluce m
Sinner J.,atp_2,sinner j
Daniel T.,atp_402,daniel t
Dzumhur D.,atp_61,dzumhur d
Draper J.,atp_12,draper j
Dougaz A.,atp_400,dougaz a
Klein L.,atp_150,klein l
Faria J.,atp_146,faria j
Kotov P.,atp_335,kotov p
Alcaraz C.,atp_1,alcaraz c
Shevchenko A.,atp_79,shevchenko a
Fearnley J.,atp_84,fearnley j
Fritz T.,atp_7,fritz t
Brooksby J.,atp_46,brooksby j
Garin C.,atp_89,garin c
Coric B.,atp_127,coric b
Ugo Carabelli C.,atp_45,ugo carabelli c
Hurkacz H.,atp_71,hurkacz h
Griekspoor T.,atp_25,griekspoor t
Medvedev D.,atp_11,medvedev d
Samrej K.,atp_396,samrej k
Wawrinka S.,atp_98,wawrinka s
Boyer T.,atp_216,boyer t
Coria F.,atp_377,coria f
Krueger M.,atp_246,krueger m
Moutet C.,atp_34,moutet c
De Minaur A.,atp_8,de minaur a
Van De Zandschulp B.,atp_55,van de zandschulp b
Majchrzak K.,atp_56,majchrzak k
Fonseca J.,atp_37,fonseca j
Eubanks C.,atp_391,eubanks c
Kachmazov A.,atp_455,kachmazov a
Bellucci M.,atp_109,bellucci m
Gasquet R.,atp_355,gasquet r
Mayot H.,atp_172,mayot h
De Jong J.,atp_86,de jong j
Kovacevic A.,atp_75,kovacevic a
Holt B.,atp_151,holt b
Quinn E.,atp_70,quinn e
Svajda T.,atp_359,svajda t
Mmoh M.,atp_353,mmoh m
Djere L.,atp_113,djere l
Gojo B.,atp_235,gojo b
Svajda Z.,atp_106,svajda z
Trotter J.K.,atp_331,trotter j
Popko D.,atp_234,popko d
McDonald M.,atp_115,mcdonald m
Medjedovic H.,atp_97,medjedovic h
Collignon R.,atp_68,collignon r
Van Assche L.,atp_130,van assche l
Chidekh C.,atp_205,chidekh c
Grenier H.,atp_191,grenier h
Gea A.,atp_160,gea a
Cilic M.,atp_52,cilic m
Shelbayh A.,atp_318,shelbayh a
Meligeni Alves F.,atp_236,meligeni alves f
Heide G.,atp_256,heide g
Dellien H.,atp_157,dellien h
Pacheco Mendez R.,atp_227,pacheco mendez r
Evans D.,atp_196,evans d
Fucsovics M.,atp_60,fucsovics m
Buse I.,atp_91,buse i
