player_id,canonical_name,display_name,variants,full_name
wta_1,sabalenka a.,A. Sabalenka,,Aryna Sabalenka
wta_2,rybakina e.,E. Rybakina,,Elena Rybakina
wta_3,gauff c.,C. Gauff,,Coco Gauff
wta_4,swiatek i.,I. Swiatek,,Iga Swiatek
wta_5,pegula j.,J. Pegula,,Jessica Pegula
wta_6,anisimova a.,A. Anisimova,,Amanda Anisimova
wta_7,svitolina e.,E. Svitolina,,Elina Svitolina
wta_8,paolini j.,J. Paolini,,Jasmine Paolini
wta_9,mboko v.,V. Mboko,,Victoria Mboko
wta_10,andreeva m.,M. Andreeva,,Mirra Andreeva
wta_11,muchova k.,K. Muchova,,Karolina Muchova
wta_12,bencic b.,B. Bencic,,Belinda Bencic
wta_13,alexandrova e.,E. Alexandrova,,Ekaterina Alexandrova
wta_14,noskova l.,L. Noskova,,Linda Noskova
wta_15,osaka n.,N. Osaka,,Naomi Osaka
wta_16,jovic i.,I. Jovic,,Iva Jovic
wta_17,tauson c.,C. Tauson,,Clara Tauson
wta_18,keys m.,M. Keys,,Madison Keys
wta_19,shnaider d.,D. Shnaider,,Diana Shnaider
wta_20,mertens e.,E. Mertens,,Elise Mertens
wta_21,samsonova l.,L. Samsonova,,Liudmila Samsonova
wta_22,kalinskaya a.,A. Kalinskaya,,Anna Kalinskaya
wta_23,ostapenko j.,J. Ostapenko,,Jelena Ostapenko
wta_24,fernandez l.,L. Fernandez,,Leylah Fernandez
wta_25,navarro e.,E. Navarro,,Emma Navarro
wta_26,bouzkova m.,M. Bouzkova,,Marie Bouzkova
wta_27,kostyuk m.,M. Kostyuk,,Marta Kostyuk
wta_28,raducanu e.,E. Raducanu,,Emma Raducanu
wta_29,cirstea s.,S. Cirstea,,Sorana Cirstea
wta_30,zheng q.,Q. Zheng,,Qinwen Zheng
wta_31,joint m.,M. Joint,,Maya Joint
wta_32,bucsa c.,C. Bucsa,,Cristina Bucsa
wta_33,baptiste h.,H. Baptiste,,Hailey Baptiste
wta_34,wang x.,X. Wang,,Xin Yu Wang
wta_35,cristian j.,J. Cristian,,Jaqueline Cristian
wta_36,sakkari m.,M. Sakkari,,Maria Sakkari
wta_37,li a.,A. Li,,Ann Li
wta_38,frech m.,M. Frech,,Magdalena Frech
wta_39,boisson l.,L. Boisson,,Lois Boisson
wta_40,bejlek s.,S. Bejlek,,Sara Bejlek
wta_41,tjen j.,J. Tjen,,Janice Tjen
wta_42,siniakova k.,K. Siniakova,,Katerina Siniakova
wta_43,cocciaretto e.,E. Cocciaretto,,Elisabetta Cocciaretto
wta_44,vondrousova m.,M. Vondrousova,,Marketa Vondrousova
wta_45,eala a.,A. Eala,,Alexandra Eala
wta_46,stearns p.,P. Stearns,,Peyton Stearns
wta_47,kenin s.,S. Kenin,,Sofia Kenin
wta_48,maneiro j.,J. Maneiro,,Jessica Bouzas Maneiro
wta_49,yastremska d.,D. Yastremska,,Dayana Yastremska
wta_50,valentova t.,T. Valentova,,Tereza Valentova
wta_51,siegemund l.,L. Siegemund,,Laura Siegemund
wta_52,krejcikova b.,B. Krejcikova,,Barbora Krejcikova
wta_53,kessler m.,M. Kessler,,Mccartney Kessler
wta_54,osorio c.,C. Osorio,,Camila Osorio
wta_55,kartal s.,S. Kartal,,Sonay Kartal
wta_56,gibson t.,T. Gibson,,Talia Gibson
wta_57,linette m.,M. Linette,,Magda Linette
wta_58,kudermetova v.,V. Kudermetova,,Veronika Kudermetova
wta_59,gracheva v.,V. Gracheva,,Varvara Gracheva
wta_60,maria t.,T. Maria,,Tatjana Maria
wta_61,ruzic a.,A. Ruzic,,Antonia Ruzic
wta_62,zhang s.,S. Zhang,,Shuai Zhang
wta_63,jacquemot e.,E. Jacquemot,,Elsa Jacquemot
wta_64,boulter k.,K. Boulter,,Katie Boulter
wta_65,sierra s.,S. Sierra,,Solana Sierra
wta_66,zakharova a.,A. Zakharova,,Anastasia Zakharova
wta_67,kasatkina d.,D. Kasatkina,,Daria Kasatkina
wta_68,bondar a.,A. Bondar,,Anna Bondar
wta_69,mcnally c.,C. Mcnally,,Caty Mcnally
wta_70,maia b.,B. Maia,,Beatriz Haddad Maia
wta_71,oliynykova o.,O. Oliynykova,,Oleksandra Oliynykova
wta_72,putintseva y.,Y. Putintseva,,Yulia Putintseva
wta_73,rakhimova k.,K. Rakhimova,,Kamilla Rakhimova
wta_74,selekhmeteva o.,O. Selekhmeteva,,Oksana Selekhmeteva
wta_75,tomljanovic a.,A. Tomljanovic,,Ajla Tomljanovic
wta_76,lys e.,E. Lys,,Eva Lys
wta_77,sonmez z.,Z. Sonmez,,Zeynep Sonmez
wta_78,marcinko p.,P. Marcinko,,Petra Marcinko
wta_79,golubic v.,V. Golubic,,Viktorija Golubic
wta_80,birrell k.,K. Birrell,,Kimberly Birrell
wta_81,uchijima m.,M. Uchijima,,Moyuka Uchijima
wta_82,seidel e.,E. Seidel,,Ella Seidel
wta_83,ruse e.,E. Ruse,,Elena Gabriela Ruse
wta_84,galfi d.,D. Galfi,,Dalma Galfi
wta_85,zarazua r.,R. Zarazua,,Renata Zarazua
wta_86,volynets k.,K. Volynets,,Katie Volynets
wta_87,grabher j.,J. Grabher,,Julia Grabher
wta_88,waltert s.,S. Waltert,,Simona Waltert
wta_89,starodubtseva y.,Y. Starodubtseva,,Yuliia Starodubtseva
wta_90,townsend t.,T. Townsend,,Taylor Townsend
wta_91,parry d.,D. Parry,,Diane Parry
wta_92,udvardy p.,P. Udvardy,,Panna Udvardy
wta_93,snigur d.,D. Snigur,,Daria Snigur
wta_94,potapova a.,A. Potapova,,Anastasia Potapova
wta_95,bartunkova n.,N. Bartunkova,,Nikola Bartunkova
wta_96,vandewinkel h.,H. Vandewinkel,,Hanne Vandewinkel
wta_97,parks a.,A. Parks,,Alycia Parks
