player_id,opponent,game_date,games_won,games_lost,game_diff,total_games,aces,double_faults,match_win,tourney_name,tourney_level,surface,round
wta_196,wta_302,2024-12-29,12,7,5,19,,,1,ASB Classic,WTA250,Hard,1st Round
wta_302,wta_196,2024-12-29,7,12,-5,19,,,0,ASB Classic,WTA250,Hard,1st Round
wta_15,wta_136,2024-12-29,12,5,7,17,,,1,ASB Classic,WTA250,Hard,1st Round
wta_136,wta_15,2024-12-29,5,12,-7,17,,,0,ASB Classic,WTA250,Hard,1st Round
wta_246,wta_98,2024-12-30,15,12,3,27,,,1,ASB Classic,WTA250,Hard,1st Round
wta_98,wta_246,2024-12-30,12,15,-3,27,,,0,ASB Classic,WTA250,Hard,1st Round
wta_96,wta_362,2024-12-30,18,13,5,31,,,1,ASB Classic,WTA250,Hard,1st Round
wta_362,wta_96,2024-12-30,13,18,-5,31,,,0,ASB Classic,WTA250,Hard,1st Round
wta_38,wta_101,2024-12-30,8,3,5,11,,,1,ASB Classic,WTA250,Hard,1st Round
wta_101,wta_38,2024-12-30,3,8,-5,11,,,0,ASB Classic,WTA250,Hard,1st Round
wta_32,wta_223,2024-12-30,13,7,6,20,,,1,ASB Classic,WTA250,Hard,1st Round
wta_223,wta_32,2024-12-30,7,13,-6,20,,,0,ASB Classic,WTA250,Hard,1st Round
wta_44,wta_303,2024-12-31,12,2,10,14,,,1,ASB Classic,WTA250,Hard,1st Round
wta_303,wta_44,2024-12-31,2,12,-10,14,,,0,ASB Classic,WTA250,Hard,1st Round
wta_17,wta_138,2024-12-31,12,8,4,20,,,1,ASB Classic,WTA250,Hard,1st Round
wta_138,wta_17,2024-12-31,8,12,-4,20,,,0,ASB Classic,WTA250,Hard,1st Round
wta_129,wta_204,2024-12-31,12,4,8,16,,,1,ASB Classic,WTA250,Hard,1st Round
wta_204,wta_129,2024-12-31,4,12,-8,16,,,0,ASB Classic,WTA250,Hard,1st Round
wta_293,wta_220,2024-12-31,14,6,8,20,,,1,ASB Classic,WTA250,Hard,1st Round
wta_220,wta_293,2024-12-31,6,14,-8,20,,,0,ASB Classic,WTA250,Hard,1st Round
wta_76,wta_6,2024-12-31,14,11,3,25,,,1,ASB Classic,WTA250,Hard,1st Round
wta_6,wta_76,2024-12-31,11,14,-3,25,,,0,ASB Classic,WTA250,Hard,1st Round
wta_174,wta_246,2024-12-31,13,10,3,23,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_246,wta_174,2024-12-31,10,13,-3,23,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_16,wta_80,2025-01-01,13,8,5,21,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_80,wta_16,2025-01-01,8,13,-5,21,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_15,wta_32,2025-01-01,18,18,0,36,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_32,wta_15,2025-01-01,18,18,0,36,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_96,wta_36,2025-01-01,12,7,5,19,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_36,wta_96,2025-01-01,7,12,-5,19,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_17,wta_38,2025-01-02,12,3,9,15,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_38,wta_17,2025-01-02,3,12,-9,15,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_293,wta_196,2025-01-02,12,4,8,16,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_196,wta_293,2025-01-02,4,12,-8,16,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_76,wta_129,2025-01-02,13,8,5,21,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_129,wta_76,2025-01-02,8,13,-5,21,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_44,wta_399,2025-01-02,19,18,1,37,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_399,wta_44,2025-01-02,18,19,-1,37,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_293,wta_174,2025-01-02,12,8,4,20,,,1,ASB Classic,WTA250,Hard,Quarterfinals
wta_174,wta_293,2025-01-02,8,12,-4,20,,,0,ASB Classic,WTA250,Hard,Quarterfinals
wta_16,wta_44,2025-01-03,18,10,8,28,,,1,ASB Classic,WTA250,Hard,Quarterfinals
wta_44,wta_16,2025-01-03,10,18,-8,28,,,0,ASB Classic,WTA250,Hard,Quarterfinals
wta_15,wta_17,2025-01-03,13,10,3,23,,,1,ASB Classic,WTA250,Hard,Quarterfinals
wta_17,wta_15,2025-01-03,10,13,-3,23,,,0,ASB Classic,WTA250,Hard,Quarterfinals
wta_76,wta_96,2025-01-03,12,5,7,17,,,1,ASB Classic,WTA250,Hard,Quarterfinals
wta_96,wta_76,2025-01-03,5,12,-7,17,,,0,ASB Classic,WTA250,Hard,Quarterfinals
wta_15,wta_293,2025-01-04,12,7,5,19,,,1,ASB Classic,WTA250,Hard,Semifinals
wta_293,wta_15,2025-01-04,7,12,-5,19,,,0,ASB Classic,WTA250,Hard,Semifinals
wta_16,wta_76,2025-01-04,12,6,6,18,,,1,ASB Classic,WTA250,Hard,Semifinals
wta_76,wta_16,2025-01-04,6,12,-6,18,,,0,ASB Classic,WTA250,Hard,Semifinals
wta_15,wta_16,2025-01-05,4,6,-2,10,,,1,ASB Classic,WTA250,Hard,The Final
wta_16,wta_15,2025-01-05,6,4,2,10,,,0,ASB Classic,WTA250,Hard,The Final
wta_109,wta_91,2024-12-29,12,6,6,18,,,1,Brisbane International,WTA500,Hard,1st Round
wta_91,wta_109,2024-12-29,6,12,-6,18,,,0,Brisbane International,WTA500,Hard,1st Round
wta_100,wta_90,2024-12-29,13,12,1,25,,,1,Brisbane International,WTA500,Hard,1st Round
wta_90,wta_100,2024-12-29,12,13,-1,25,,,0,Brisbane International,WTA500,Hard,1st Round
wta_29,wta_123,2024-12-29,12,7,5,19,,,1,Brisbane International,WTA500,Hard,1st Round
wta_123,wta_29,2024-12-29,7,12,-5,19,,,0,Brisbane International,WTA500,Hard,1st Round
wta_87,wta_153,2024-12-29,12,3,9,15,,,1,Brisbane International,WTA500,Hard,1st Round
wta_153,wta_87,2024-12-29,3,12,-9,15,,,0,Brisbane International,WTA500,Hard,1st Round
wta_178,wta_102,2024-12-29,13,10,3,23,,,1,Brisbane International,WTA500,Hard,1st Round
wta_102,wta_178,2024-12-29,10,13,-3,23,,,0,Brisbane International,WTA500,Hard,1st Round
wta_82,wta_41,2024-12-29,13,7,6,20,,,1,Brisbane International,WTA500,Hard,1st Round
wta_41,wta_82,2024-12-29,7,13,-6,20,,,0,Brisbane International,WTA500,Hard,1st Round
wta_39,wta_111,2024-12-29,16,15,1,31,,,1,Brisbane International,WTA500,Hard,1st Round
wta_111,wta_39,2024-12-29,15,16,-1,31,,,0,Brisbane International,WTA500,Hard,1st Round
wta_31,wta_50,2024-12-29,12,8,4,20,,,1,Brisbane International,WTA500,Hard,1st Round
wta_50,wta_31,2024-12-29,8,12,-4,20,,,0,Brisbane International,WTA500,Hard,1st Round
wta_94,wta_130,2024-12-30,16,13,3,29,,,1,Brisbane International,WTA500,Hard,1st Round
wta_130,wta_94,2024-12-30,13,16,-3,29,,,0,Brisbane International,WTA500,Hard,1st Round
wta_59,wta_49,2024-12-30,12,5,7,17,,,1,Brisbane International,WTA500,Hard,1st Round
wta_49,wta_59,2024-12-30,5,12,-7,17,,,0,Brisbane International,WTA500,Hard,1st Round
wta_191,wta_355,2024-12-30,8,4,4,12,,,1,Brisbane International,WTA500,Hard,1st Round
wta_355,wta_191,2024-12-30,4,8,-4,12,,,0,Brisbane International,WTA500,Hard,1st Round
wta_144,wta_223,2024-12-30,12,4,8,16,,,1,Brisbane International,WTA500,Hard,1st Round
wta_223,wta_144,2024-12-30,4,12,-8,16,,,0,Brisbane International,WTA500,Hard,1st Round
wta_180,wta_62,2024-12-30,13,8,5,21,,,1,Brisbane International,WTA500,Hard,1st Round
wta_62,wta_180,2024-12-30,8,13,-5,21,,,0,Brisbane International,WTA500,Hard,1st Round
wta_122,wta_134,2024-12-30,12,6,6,18,,,1,Brisbane International,WTA500,Hard,1st Round
wta_134,wta_122,2024-12-30,6,12,-6,18,,,0,Brisbane International,WTA500,Hard,1st Round
wta_178,wta_70,2024-12-31,13,11,2,24,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_70,wta_178,2024-12-31,11,13,-2,24,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_77,wta_31,2024-12-31,13,7,6,20,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_31,wta_77,2024-12-31,7,13,-6,20,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_100,wta_24,2024-12-31,12,6,6,18,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_24,wta_100,2024-12-31,6,12,-6,18,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_1,wta_87,2024-12-31,12,4,8,16,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_87,wta_1,2024-12-31,4,12,-8,16,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_7,wta_82,2024-12-31,12,8,4,20,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_82,wta_7,2024-12-31,8,12,-4,20,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_39,wta_27,2024-12-31,13,10,3,23,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_27,wta_39,2024-12-31,10,13,-3,23,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_258,wta_11,2024-12-31,12,5,7,17,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_11,wta_258,2024-12-31,5,12,-7,17,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_191,wta_21,2024-12-31,16,10,6,26,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_21,wta_191,2024-12-31,10,16,-6,26,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_94,wta_19,2025-01-01,14,10,4,24,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_19,wta_94,2025-01-01,10,14,-4,24,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_144,wta_18,2025-01-01,18,12,6,30,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_18,wta_144,2025-01-01,12,18,-6,30,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_61,wta_59,2025-01-01,18,17,1,35,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_59,wta_61,2025-01-01,17,18,-1,35,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_75,wta_43,2025-01-01,13,9,4,22,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_43,wta_75,2025-01-01,9,13,-4,22,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_109,wta_55,2025-01-01,13,8,5,21,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_55,wta_109,2025-01-01,8,13,-5,21,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_122,wta_26,2025-01-01,12,7,5,19,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_26,wta_122,2025-01-01,7,12,-5,19,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_150,wta_29,2025-01-01,18,13,5,31,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_29,wta_150,2025-01-01,13,18,-5,31,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_14,wta_180,2025-01-01,12,5,7,17,,,1,Brisbane International,WTA500,Hard,2nd Round
wta_180,wta_14,2025-01-01,5,12,-7,17,,,0,Brisbane International,WTA500,Hard,2nd Round
wta_94,wta_75,2025-01-02,13,8,5,21,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_75,wta_94,2025-01-02,8,13,-5,21,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_100,wta_109,2025-01-02,13,5,8,18,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_109,wta_100,2025-01-02,5,13,-8,18,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_144,wta_61,2025-01-02,14,13,1,27,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_61,wta_144,2025-01-02,13,14,-1,27,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_191,wta_122,2025-01-02,12,5,7,17,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_122,wta_191,2025-01-02,5,12,-7,17,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_7,wta_14,2025-01-02,12,3,9,15,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_14,wta_7,2025-01-02,3,12,-9,15,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_258,wta_178,2025-01-02,13,14,-1,27,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_178,wta_258,2025-01-02,14,13,1,27,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_39,wta_150,2025-01-02,12,8,4,20,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_150,wta_39,2025-01-02,8,12,-4,20,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_1,wta_77,2025-01-02,13,10,3,23,,,1,Brisbane International,WTA500,Hard,3rd Round
wta_77,wta_1,2025-01-02,10,13,-3,23,,,0,Brisbane International,WTA500,Hard,3rd Round
wta_191,wta_94,2025-01-03,17,12,5,29,,,1,Brisbane International,WTA500,Hard,Quarterfinals
wta_94,wta_191,2025-01-03,12,17,-5,29,,,0,Brisbane International,WTA500,Hard,Quarterfinals
wta_7,wta_258,2025-01-03,13,10,3,23,,,1,Brisbane International,WTA500,Hard,Quarterfinals
wta_258,wta_7,2025-01-03,10,13,-3,23,,,0,Brisbane International,WTA500,Hard,Quarterfinals
wta_144,wta_100,2025-01-03,13,9,4,22,,,1,Brisbane International,WTA500,Hard,Quarterfinals
wta_100,wta_144,2025-01-03,9,13,-4,22,,,0,Brisbane International,WTA500,Hard,Quarterfinals
wta_1,wta_39,2025-01-03,12,7,5,19,,,1,Brisbane International,WTA500,Hard,Quarterfinals
wta_39,wta_1,2025-01-03,7,12,-5,19,,,0,Brisbane International,WTA500,Hard,Quarterfinals
wta_144,wta_191,2025-01-04,12,7,5,19,,,1,Brisbane International,WTA500,Hard,Semifinals
wta_191,wta_144,2025-01-04,7,12,-5,19,,,0,Brisbane International,WTA500,Hard,Semifinals
wta_1,wta_7,2025-01-04,12,5,7,17,,,1,Brisbane International,WTA500,Hard,Semifinals
wta_7,wta_1,2025-01-04,5,12,-7,17,,,0,Brisbane International,WTA500,Hard,Semifinals
wta_1,wta_144,2025-01-05,16,11,5,27,,,1,Brisbane International,WTA500,Hard,The Final
wta_144,wta_1,2025-01-05,11,16,-5,27,,,0,Brisbane International,WTA500,Hard,The Final
wta_77,wta_99,2025-01-06,12,5,7,17,,,1,Adelaide International,WTA500,Hard,1st Round
wta_99,wta_77,2025-01-06,5,12,-7,17,,,0,Adelaide International,WTA500,Hard,1st Round
wta_152,wta_223,2025-01-06,12,4,8,16,,,1,Adelaide International,WTA500,Hard,1st Round
wta_223,wta_152,2025-01-06,4,12,-8,16,,,0,Adelaide International,WTA500,Hard,1st Round
wta_11,wta_28,2025-01-06,15,12,3,27,,,1,Adelaide International,WTA500,Hard,1st Round
wta_28,wta_11,2025-01-06,12,15,-3,27,,,0,Adelaide International,WTA500,Hard,1st Round
wta_61,wta_179,2025-01-06,12,5,7,17,,,1,Adelaide International,WTA500,Hard,1st Round
wta_179,wta_61,2025-01-06,5,12,-7,17,,,0,Adelaide International,WTA500,Hard,1st Round
wta_37,wta_110,2025-01-06,18,13,5,31,,,1,Adelaide International,WTA500,Hard,1st Round
wta_110,wta_37,2025-01-06,13,18,-5,31,,,0,Adelaide International,WTA500,Hard,1st Round
wta_70,wta_59,2025-01-06,19,15,4,34,,,1,Adelaide International,WTA500,Hard,1st Round
wta_59,wta_70,2025-01-06,15,19,-4,34,,,0,Adelaide International,WTA500,Hard,1st Round
wta_33,wta_14,2025-01-07,12,6,6,18,,,1,Adelaide International,WTA500,Hard,1st Round
wta_14,wta_33,2025-01-07,6,12,-6,18,,,0,Adelaide International,WTA500,Hard,1st Round
wta_18,wta_39,2025-01-07,13,11,2,24,,,1,Adelaide International,WTA500,Hard,1st Round
wta_39,wta_18,2025-01-07,11,13,-2,24,,,0,Adelaide International,WTA500,Hard,1st Round
wta_27,wta_55,2025-01-07,16,8,8,24,,,1,Adelaide International,WTA500,Hard,1st Round
wta_55,wta_27,2025-01-07,8,16,-8,24,,,0,Adelaide International,WTA500,Hard,1st Round
wta_21,wta_46,2025-01-07,12,9,3,21,,,1,Adelaide International,WTA500,Hard,1st Round
wta_46,wta_21,2025-01-07,9,12,-3,21,,,0,Adelaide International,WTA500,Hard,1st Round
wta_100,wta_26,2025-01-07,16,10,6,26,,,1,Adelaide International,WTA500,Hard,1st Round
wta_26,wta_100,2025-01-07,10,16,-6,26,,,0,Adelaide International,WTA500,Hard,1st Round
wta_12,wta_24,2025-01-07,7,2,5,9,,,1,Adelaide International,WTA500,Hard,1st Round
wta_24,wta_12,2025-01-07,2,7,-5,9,,,0,Adelaide International,WTA500,Hard,1st Round
wta_258,wta_78,2025-01-07,13,8,5,21,,,1,Adelaide International,WTA500,Hard,1st Round
wta_78,wta_258,2025-01-07,8,13,-5,21,,,0,Adelaide International,WTA500,Hard,1st Round
wta_19,wta_11,2025-01-08,13,10,3,23,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_11,wta_19,2025-01-08,10,13,-3,23,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_5,wta_33,2025-01-08,12,5,7,17,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_33,wta_5,2025-01-08,5,12,-7,17,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_18,wta_12,2025-01-08,17,16,1,33,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_12,wta_18,2025-01-08,16,17,-1,33,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_100,wta_70,2025-01-08,19,15,4,34,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_70,wta_100,2025-01-08,15,19,-4,34,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_21,wta_37,2025-01-08,5,7,-2,12,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_37,wta_21,2025-01-08,7,5,2,12,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_17,wta_27,2025-01-08,15,13,2,28,,,1,Adelaide International,WTA500,Hard,2nd Round
wta_27,wta_17,2025-01-08,13,15,-2,28,,,0,Adelaide International,WTA500,Hard,2nd Round
wta_77,wta_258,2025-01-08,12,6,6,18,,,1,Adelaide International,WTA500,Hard,2nd Round
