Rank	Player	Country	Birthdate
1	Aryna Sabalenka	BLR	1998-05-05
2	Elena Rybakina	KAZ	1999-06-17
3	Coco Gauff	USA	2004-03-13
4	Iga Swiatek	POL	2001-05-31
5	Jessica Pegula	USA	1994-02-24
6	Amanda Anisimova	USA	2001-08-31
7	Elina Svitolina	UKR	1994-09-12
8	Jasmine Paolini	ITA	1996-01-04
9	Victoria Mboko	CAN	2006-08-26
10	Mirra Andreeva	RUS	2007-04-29
11	Karolina Muchova	CZE	1996-08-21
12	Belinda Bencic	SUI	1997-03-10
13	Ekaterina Alexandrova	RUS	1994-11-15
14	Linda Noskova	CZE	2004-11-17
15	Naomi Osaka	JPN	1997-10-16
16	Iva Jovic	USA	2007-12-06
17	Clara Tauson	DEN	2002-12-21
18	Madison Keys	USA	1995-02-17
19	Diana Shnaider	RUS	2004-04-02
20	Elise Mertens	BEL	1995-11-17
21	Liudmila Samsonova	RUS	1998-11-11
22	Anna Kalinskaya	RUS	1998-12-02
23	Jelena Ostapenko	LAT	1997-06-08
24	Leylah Fernandez	CAN	2002-09-06
25	Emma Navarro	USA	2001-05-18
26	Marie Bouzkova	CZE	1998-07-21
27	Marta Kostyuk	UKR	2002-06-28
28	Emma Raducanu	GBR	2002-11-13
29	Sorana Cirstea	ROU	1990-04-07
30	Qinwen Zheng	CHN	2002-10-08
31	Maya Joint	AUS	2006-04-16
32	Cristina Bucsa	ESP	1998-01-01
33	Hailey Baptiste	USA	2001-11-03
34	Xin Yu Wang	CHN	2001-09-26
35	Jaqueline Cristian	ROU	1998-06-05
36	Maria Sakkari	GRE	1995-07-25
37	Ann Li	USA	2000-06-26
38	Magdalena Frech	POL	1997-12-15
39	Lois Boisson	FRA	2003-05-16
40	Sara Bejlek	CZE	2006-01-31
41	Janice Tjen	INA	2002-05-06
42	Katerina Siniakova	CZE	1996-05-10
43	Elisabetta Cocciaretto	ITA	2001-01-25
44	Marketa Vondrousova	CZE	1999-06-28
45	Alexandra Eala	PHI	2005-05-23
46	Peyton Stearns	USA	2001-10-08
47	Sofia Kenin	USA	1998-11-14
48	Jessica Bouzas Maneiro	ESP	2002-09-24
49	Dayana Yastremska	UKR	2000-05-15
50	Tereza Valentova	CZE	2007-02-20
51	Laura Siegemund	GER	1988-03-04
