player_id,opponent,match_date,games_won,games_lost,aces,double_faults,match_win,tourney_name,tourney_level,surface,round
atp_122,atp_79,2024-12-29,8.0,7.0,3.0,0.0,1,United Cup,A,Hard,RR
atp_42,atp_21,2024-12-29,9.0,9.0,6.0,2.0,0,Brisbane,250,Hard,SF
atp_69,atp_58,2024-12-29,11.0,10.0,12.0,2.0,1,Brisbane,250,Hard,SF
atp_58,atp_69,2024-12-29,10.0,11.0,10.0,5.0,0,Brisbane,250,Hard,SF
atp_21,atp_69,2024-12-29,3.0,2.0,3.0,0.0,1,Brisbane,250,Hard,F
atp_69,atp_21,2024-12-29,2.0,3.0,0.0,0.0,0,Brisbane,250,Hard,F
atp_83,atp_22,2024-12-29,9.0,9.0,9.0,1.0,1,Hong Kong,250,Hard,R32
atp_22,atp_83,2024-12-29,9.0,9.0,9.0,1.0,0,Hong Kong,250,Hard,R32
atp_3,atp_69,2024-12-29,10.0,11.0,8.0,1.0,0,Brisbane,250,Hard,QF
atp_47,atp_185,2024-12-29,10.0,9.0,6.0,3.0,1,Hong Kong,250,Hard,R32
atp_64,atp_29,2024-12-29,11.0,10.0,5.0,1.0,1,Hong Kong,250,Hard,R32
atp_29,atp_64,2024-12-29,10.0,11.0,6.0,0.0,0,Hong Kong,250,Hard,R32
atp_27,atp_23,2024-12-29,11.0,10.0,11.0,1.0,1,Hong Kong,250,Hard,R32
atp_23,atp_27,2024-12-29,10.0,11.0,6.0,5.0,0,Hong Kong,250,Hard,R32
atp_43,atp_271,2024-12-29,10.0,10.0,11.0,1.0,1,Hong Kong,250,Hard,R32
atp_271,atp_43,2024-12-29,10.0,10.0,2.0,3.0,0,Hong Kong,250,Hard,R32
atp_44,atp_147,2024-12-29,15.0,15.0,9.0,4.0,1,Hong Kong,250,Hard,R32
atp_185,atp_47,2024-12-29,9.0,10.0,4.0,3.0,0,Hong Kong,250,Hard,R32
atp_147,atp_44,2024-12-29,15.0,15.0,17.0,1.0,0,Hong Kong,250,Hard,R32
atp_69,atp_3,2024-12-29,11.0,10.0,16.0,1.0,1,Brisbane,250,Hard,QF
atp_58,atp_16,2024-12-29,12.0,12.0,19.0,2.0,1,Brisbane,250,Hard,QF
atp_42,atp_88,2024-12-29,10.0,10.0,12.0,1.0,1,Brisbane,250,Hard,R16
atp_88,atp_42,2024-12-29,10.0,10.0,5.0,4.0,0,Brisbane,250,Hard,R16
atp_111,atp_41,2024-12-29,10.0,11.0,3.0,1.0,1,Brisbane,250,Hard,R16
atp_41,atp_111,2024-12-29,11.0,10.0,4.0,2.0,0,Brisbane,250,Hard,R16
atp_16,atp_129,2024-12-29,9.0,8.0,4.0,0.0,1,Brisbane,250,Hard,R16
atp_129,atp_16,2024-12-29,8.0,9.0,5.0,1.0,0,Brisbane,250,Hard,R16
atp_69,atp_85,2024-12-29,12.0,12.0,25.0,6.0,1,Brisbane,250,Hard,R16
atp_16,atp_58,2024-12-29,12.0,12.0,10.0,5.0,0,Brisbane,250,Hard,QF
atp_85,atp_69,2024-12-29,12.0,12.0,8.0,2.0,0,Brisbane,250,Hard,R16
atp_28,atp_58,2024-12-29,11.0,11.0,6.0,2.0,0,Brisbane,250,Hard,R16
atp_3,atp_168,2024-12-29,9.0,9.0,5.0,1.0,1,Brisbane,250,Hard,R16
atp_168,atp_3,2024-12-29,9.0,9.0,4.0,4.0,0,Brisbane,250,Hard,R16
atp_21,atp_143,2024-12-29,10.0,10.0,10.0,2.0,1,Brisbane,250,Hard,QF
atp_143,atp_21,2024-12-29,10.0,10.0,8.0,2.0,0,Brisbane,250,Hard,QF
atp_42,atp_111,2024-12-29,5.0,5.0,1.0,1.0,1,Brisbane,250,Hard,QF
atp_111,atp_42,2024-12-29,5.0,5.0,1.0,1.0,0,Brisbane,250,Hard,QF
atp_58,atp_28,2024-12-29,11.0,11.0,20.0,4.0,1,Brisbane,250,Hard,R16
atp_35,atp_15,2024-12-29,14.0,14.0,6.0,4.0,1,Hong Kong,250,Hard,R32
atp_15,atp_35,2024-12-29,14.0,14.0,2.0,4.0,0,Hong Kong,250,Hard,R32
atp_101,atp_161,2024-12-29,10.0,10.0,3.0,1.0,1,Hong Kong,250,Hard,R32
atp_47,atp_14,2024-12-29,15.0,15.0,5.0,2.0,1,Hong Kong,250,Hard,R16
atp_14,atp_47,2024-12-29,15.0,15.0,10.0,3.0,0,Hong Kong,250,Hard,R16
atp_50,atp_40,2024-12-29,12.0,13.0,3.0,1.0,1,Hong Kong,250,Hard,QF
atp_40,atp_50,2024-12-29,13.0,12.0,3.0,9.0,0,Hong Kong,250,Hard,QF
atp_35,atp_5,2024-12-29,16.0,16.0,2.0,4.0,1,Hong Kong,250,Hard,QF
atp_5,atp_35,2024-12-29,16.0,16.0,9.0,4.0,0,Hong Kong,250,Hard,QF
atp_259,atp_47,2024-12-29,13.0,13.0,9.0,4.0,1,Hong Kong,250,Hard,QF
atp_101,atp_259,2024-12-29,8.0,8.0,5.0,6.0,0,Hong Kong,250,Hard,R16
atp_47,atp_259,2024-12-29,13.0,13.0,6.0,2.0,0,Hong Kong,250,Hard,QF
atp_27,atp_283,2024-12-29,13.0,13.0,8.0,3.0,0,Hong Kong,250,Hard,QF
atp_50,atp_35,2024-12-29,16.0,16.0,4.0,3.0,1,Hong Kong,250,Hard,SF
atp_35,atp_50,2024-12-29,16.0,16.0,6.0,2.0,0,Hong Kong,250,Hard,SF
atp_283,atp_259,2024-12-29,4.0,3.0,3.0,0.0,1,Hong Kong,250,Hard,SF
atp_259,atp_283,2024-12-29,3.0,4.0,3.0,0.0,0,Hong Kong,250,Hard,SF
atp_50,atp_283,2024-12-29,12.0,12.0,2.0,1.0,1,Hong Kong,250,Hard,F
atp_283,atp_50,2024-12-29,12.0,12.0,4.0,1.0,0,Hong Kong,250,Hard,F
atp_283,atp_27,2024-12-29,13.0,13.0,4.0,1.0,1,Hong Kong,250,Hard,QF
atp_259,atp_101,2024-12-29,8.0,8.0,9.0,2.0,1,Hong Kong,250,Hard,R16
atp_39,atp_5,2024-12-29,10.0,9.0,6.0,2.0,0,Hong Kong,250,Hard,R16
atp_5,atp_39,2024-12-29,9.0,10.0,6.0,3.0,1,Hong Kong,250,Hard,R16
atp_161,atp_101,2024-12-29,10.0,10.0,5.0,2.0,0,Hong Kong,250,Hard,R32
atp_283,atp_36,2024-12-29,9.0,8.0,4.0,0.0,1,Hong Kong,250,Hard,R32
atp_36,atp_283,2024-12-29,8.0,9.0,7.0,5.0,0,Hong Kong,250,Hard,R32
atp_39,atp_174,2024-12-29,17.0,17.0,9.0,2.0,1,Hong Kong,250,Hard,R32
atp_174,atp_39,2024-12-29,17.0,17.0,9.0,6.0,0,Hong Kong,250,Hard,R32
atp_259,atp_137,2024-12-29,11.0,11.0,4.0,1.0,1,Hong Kong,250,Hard,R32
atp_137,atp_259,2024-12-29,11.0,11.0,17.0,1.0,0,Hong Kong,250,Hard,R32
atp_50,atp_83,2024-12-29,18.0,18.0,9.0,2.0,1,Hong Kong,250,Hard,R16
atp_83,atp_50,2024-12-29,18.0,18.0,4.0,5.0,0,Hong Kong,250,Hard,R16
atp_27,atp_64,2024-12-29,12.0,13.0,4.0,1.0,1,Hong Kong,250,Hard,R16
atp_64,atp_27,2024-12-29,13.0,12.0,7.0,0.0,0,Hong Kong,250,Hard,R16
atp_40,atp_43,2024-12-29,11.0,11.0,6.0,2.0,1,Hong Kong,250,Hard,R16
atp_43,atp_40,2024-12-29,11.0,11.0,5.0,2.0,0,Hong Kong,250,Hard,R16
atp_283,atp_17,2024-12-29,16.0,15.0,1.0,1.0,1,Hong Kong,250,Hard,R16
atp_17,atp_283,2024-12-29,15.0,16.0,7.0,5.0,0,Hong Kong,250,Hard,R16
atp_35,atp_44,2024-12-29,11.0,10.0,5.0,0.0,1,Hong Kong,250,Hard,R16
atp_44,atp_35,2024-12-29,10.0,11.0,2.0,4.0,0,Hong Kong,250,Hard,R16
atp_123,atp_143,2024-12-29,8.0,9.0,4.0,2.0,0,Brisbane,250,Hard,R16
atp_143,atp_123,2024-12-29,9.0,8.0,10.0,0.0,1,Brisbane,250,Hard,R16
atp_21,atp_42,2024-12-29,9.0,9.0,4.0,3.0,1,Brisbane,250,Hard,SF
atp_21,atp_166,2024-12-29,15.0,15.0,17.0,3.0,1,Brisbane,250,Hard,R16
atp_79,atp_32,2024-12-29,11.0,11.0,2.0,3.0,1,United Cup,A,Hard,RR
atp_32,atp_79,2024-12-29,11.0,11.0,7.0,4.0,0,United Cup,A,Hard,RR
atp_4,atp_449,2024-12-29,11.0,11.0,6.0,3.0,1,United Cup,A,Hard,RR
