Date,Time,Tournament,Player 1,Player 2,player_id,opponent_id,Tour,Surface,player_P1,surface_P1,match_id_P1,date_P1,opponent_P1,games_won_P1,games_lost_P1,sets_won_P1,sets_lost_P1,close_sets_P1,total_sets_P1,won_P1,game_diff_P1,total_games_P1,is_3set_P1,avg_game_diff_P1,avg_total_games_P1,three_set_rate_P1,close_set_rate_P1,player_P2,surface_P2,match_id_P2,date_P2,opponent_P2,games_won_P2,games_lost_P2,sets_won_P2,sets_lost_P2,close_sets_P2,total_sets_P2,won_P2,game_diff_P2,total_games_P2,is_3set_P2,avg_game_diff_P2,avg_total_games_P2,three_set_rate_P2,close_set_rate_P2,game_diff_diff,combined_total_games,combined_3set_rate,prob_over_22_5
2026-03-30,19:00,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Adolfo Daniel Vallejo,Zachary Svajda,atp_9021,atp_106,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,20:30,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Jack Pinnington Jones,Zhang Zhizhen,atp_138,atp_449,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,22:00,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Alex Bolt,Wu Yibing,atp_167,atp_145,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,23:00,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Mackenzie McDonald,Jenson Brooksby,atp_115,atp_46,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,00:30,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Colton Smith,Thiago Agustin Tirante,atp_141,atp_92,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Live,Grand Prix Hassan II,Jesper de Jong,Yannick Hanfmann,atp_86,atp_90,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Final,Grand Prix Hassan II,Karim Bennani,Quentin Halys,atp_778,atp_72,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Final,Grand Prix Hassan II,Aleksandar Vukic,Taha Baadi,atp_88,atp_9016,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Final,Grand Prix Hassan II,Marco Trungelliti,Rei Sakamoto,atp_131,atp_173,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30,Final,Grand Prix Hassan II,Henrique Rocha,Nicolai Budkov Kjaer,atp_170,atp_133,ATP,Clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
