player_id,opponent,match_date,games_won,games_lost,game_diff,aces,double_faults,match_win,tourney_name,tourney_level,surface,round
wta_196,wta_302,2024-12-29,12,7,5,,,1,ASB Classic,WTA250,Hard,1st Round
wta_302,wta_196,2024-12-29,7,12,-5,,,0,ASB Classic,WTA250,Hard,1st Round
wta_15,wta_136,2024-12-29,12,5,7,,,1,ASB Classic,WTA250,Hard,1st Round
wta_136,wta_15,2024-12-29,5,12,-7,,,0,ASB Classic,WTA250,Hard,1st Round
wta_246,wta_98,2024-12-30,15,12,3,,,1,ASB Classic,WTA250,Hard,1st Round
wta_98,wta_246,2024-12-30,12,15,-3,,,0,ASB Classic,WTA250,Hard,1st Round
wta_96,wta_362,2024-12-30,18,13,5,,,1,ASB Classic,WTA250,Hard,1st Round
wta_362,wta_96,2024-12-30,13,18,-5,,,0,ASB Classic,WTA250,Hard,1st Round
wta_38,wta_101,2024-12-30,8,3,5,,,1,ASB Classic,WTA250,Hard,1st Round
wta_101,wta_38,2024-12-30,3,8,-5,,,0,ASB Classic,WTA250,Hard,1st Round
wta_32,wta_223,2024-12-30,13,7,6,,,1,ASB Classic,WTA250,Hard,1st Round
wta_223,wta_32,2024-12-30,7,13,-6,,,0,ASB Classic,WTA250,Hard,1st Round
wta_44,wta_303,2024-12-31,12,2,10,,,1,ASB Classic,WTA250,Hard,1st Round
wta_303,wta_44,2024-12-31,2,12,-10,,,0,ASB Classic,WTA250,Hard,1st Round
wta_17,wta_138,2024-12-31,12,8,4,,,1,ASB Classic,WTA250,Hard,1st Round
wta_138,wta_17,2024-12-31,8,12,-4,,,0,ASB Classic,WTA250,Hard,1st Round
wta_129,wta_204,2024-12-31,12,4,8,,,1,ASB Classic,WTA250,Hard,1st Round
wta_204,wta_129,2024-12-31,4,12,-8,,,0,ASB Classic,WTA250,Hard,1st Round
wta_293,wta_220,2024-12-31,14,6,8,,,1,ASB Classic,WTA250,Hard,1st Round
wta_220,wta_293,2024-12-31,6,14,-8,,,0,ASB Classic,WTA250,Hard,1st Round
wta_76,wta_6,2024-12-31,14,11,3,,,1,ASB Classic,WTA250,Hard,1st Round
wta_6,wta_76,2024-12-31,11,14,-3,,,0,ASB Classic,WTA250,Hard,1st Round
wta_174,wta_246,2024-12-31,13,10,3,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_246,wta_174,2024-12-31,10,13,-3,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_16,wta_80,2025-01-01,13,8,5,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_80,wta_16,2025-01-01,8,13,-5,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_15,wta_32,2025-01-01,18,18,0,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_32,wta_15,2025-01-01,18,18,0,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_96,wta_36,2025-01-01,12,7,5,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_36,wta_96,2025-01-01,7,12,-5,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_17,wta_38,2025-01-02,12,3,9,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_38,wta_17,2025-01-02,3,12,-9,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_293,wta_196,2025-01-02,12,4,8,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_196,wta_293,2025-01-02,4,12,-8,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_76,wta_129,2025-01-02,13,8,5,,,1,ASB Classic,WTA250,Hard,2nd Round
wta_129,wta_76,2025-01-02,8,13,-5,,,0,ASB Classic,WTA250,Hard,2nd Round
wta_44,wta_399,2025-01-02,19,18,1,,,1,ASB Classic,WTA250,Hard,2nd Round
